bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy
Sirenia,sirenia.no/,70000tons.com/wp-content/uploads/2022/11/17_f48f4nf.png,https://www.youtube.com/results?search_query=official+music%20video+Sirenia,http://www.metal-archives.com/search?searchString=Sirenia&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Sirenia,Norway,Symphonic-Gothic Metal
Jungle Rot,www.facebook.cotfm/igotjunglerot/,70000tons.com/wp-content/uploads/2022/11/18_9fn46vwlcof.png,https://www.youtube.com/results?search_query=official+music%20video+Jungle%20Rot,http://www.metal-archives.com/search?searchString=Jungle%20Rot&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Jungle%20Rot,United States,Death Metal
Feuerschwanz,feuerschwanz.de/,70000tons.com/wp-content/uploads/2022/11/19_0g94nkdjkk.png,https://www.youtube.com/results?search_query=official+music%20video+Feuerschwanz,http://www.metal-archives.com/search?searchString=Feuerschwanz&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Feuerschwanz,Germany,Folk Metal/Rock
Abysmal Dawn,www.facebook.com/AbysmalDawn/,70000tons.com/wp-content/uploads/2022/11/20_luzrlhurg.png,https://www.youtube.com/results?search_query=official+music%20video+Abysmal%20Dawn,http://www.metal-archives.com/search?searchString=Abysmal%20Dawn&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Abysmal%20Dawn,United States,Death Metal
Visions Of Atlantis,www.visionsofatlantis.at/,70000tons.com/wp-content/uploads/2022/11/21_12j3bbghvy.png,https://www.youtube.com/results?search_query=official+music%20video+Visions%20Of%20Atlantis,http://www.metal-archives.com/search?searchString=Visions%20Of%20Atlantis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Visions%20Of%20Atlantis,Austria,Melodic-Symphonic-Power Metal
Cynic,www.facebook.com/Cynicofficialpage/,70000tons.com/wp-content/uploads/2022/11/22_xud4bhkds.png,https://www.youtube.com/results?search_query=official+music%20video+Cynic,http://www.metal-archives.com/search?searchString=Cynic&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cynic,United States,Progressive Death Metal-Rock
Amorphis,amorphis.net/,70000tons.com/wp-content/uploads/2022/11/23_3edv7ujm-1.png,https://www.youtube.com/results?search_query=official+music%20video+Amorphis,http://www.metal-archives.com/search?searchString=Amorphis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Amorphis,Finland,Melodic Heavy Metal
Fractal Universe,www.fractaluniverseband.com/,70000tons.com/wp-content/uploads/2022/11/24_12wefgmjy6.png,https://www.youtube.com/results?search_query=official+music%20video+Fractal%20Universe,http://www.metal-archives.com/search?searchString=Fractal%20Universe&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Fractal%20Universe,France,Progressive-Technical Death Metal
Destruction,destruction.de/,70000tons.com/wp-content/uploads/2022/11/25_9in34rfg.png,https://www.youtube.com/results?search_query=official+music%20video+Destruction,http://www.metal-archives.com/search?searchString=Destruction&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Destruction,Germany,Thrash Metal
The Crown,thecrownofficial.com/en/,70000tons.com/wp-content/uploads/2022/11/27_wsdcvbnji9.png,https://www.youtube.com/results?search_query=official+music%20video+The%20Crown+Sweden,http://www.metal-archives.com/search?searchString=The%20Crown&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:The%20Crown,Sweden,Death-Thrash Metal
Keep Of Kalessin,www.keepofkalessin.com/,70000tons.com/wp-content/uploads/2022/12/28_deyghuryu.png,https://www.youtube.com/results?search_query=official+music%20video+Keep%20of%20Kalessin,http://www.metal-archives.com/search?searchString=Keep%20of%20Kalessin&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Keep%20of%20Kalessin,Norway,Melodic Black Death Metal
Cryptosis,cryptosis.net/,70000tons.com/wp-content/uploads/2022/12/29_qsdfghjk0ok.png,https://www.youtube.com/results?search_query=official+music%20video+Cryptosis,http://www.metal-archives.com/search?searchString=Cryptosis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cryptosis,Netherlands,Progressive Thrash Metal
Vreid,www.vreid.no/,70000tons.com/wp-content/uploads/2022/12/30_2wsxcvbn.png,https://www.youtube.com/results?search_query=official+music%20video+Vreid,http://www.metal-archives.com/search?searchString=Vreid&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vreid,Norway,Melodic Black Metal
Iron Savior,www.iron-savior.com,70000tons.com/wp-content/uploads/2022/12/31_cft6mht4_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Iron%20Savior,http://www.metal-archives.com/search?searchString=Iron%20Savior&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Iron%20Savior,Germany,Speed-Power Metal
God Dethroned,goddethroned.com/,70000tons.com/wp-content/uploads/2022/12/32_12wefgboi.png,https://www.youtube.com/results?search_query=official+music%20video+God%20Dethroned,http://www.metal-archives.com/search?searchString=God%20Dethroned&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:God%20Dethroned,Netherlands,Blackened Death Metal
Freedom Call,freedom-call.net/,70000tons.com/wp-content/uploads/2022/12/33_edvyujnb.png,https://www.youtube.com/results?search_query=official+music%20video+Freedom%20Call,http://www.metal-archives.com/search?searchString=Freedom%20Call&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Freedom%20Call,Germany,Power Metal
Batushka,batushkaofficial.com/,70000tons.com/wp-content/uploads/2023/01/34_1ds9jvn.png,https://www.youtube.com/results?search_query=official+music%20video+Batushka,https://www.metal-archives.com/bands/Batushka/3540454240,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Batushka,Poland,Black Metal
Elvenking,www.elvenking.net/,70000tons.com/wp-content/uploads/2023/01/35_6yhnbgt5.png,https://www.youtube.com/results?search_query=official+music%20video+Elvenking,http://www.metal-archives.com/search?searchString=Elvenking&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Elvenking,Italy,Melodic Power-Folk Metal
Wolfchant,www.facebook.com/wolfchantofficial,70000tons.com/wp-content/uploads/2023/01/36_0okm4rfvij.png,https://www.youtube.com/results?search_query=official+music%20video+Wolfchant,http://www.metal-archives.com/search?searchString=Wolfchant&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Wolfchant,Germany,Folk-Melodic-Death-Power Metal
Cancer,www.facebook.com/goryend/,70000tons.com/wp-content/uploads/2023/01/37_56yui34er.png,https://www.youtube.com/results?search_query=official+music%20video+Cancer,https://www.metal-archives.com/bands/Cancer/695,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cancer,United Kingdom,Death-Thrash Metal
Nothgard,nothgard.com/en/,70000tons.com/wp-content/uploads/2023/01/38_cdwcwa.png,https://www.youtube.com/results?search_query=official+music%20video+Nothgard,http://www.metal-archives.com/search?searchString=Nothgard&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nothgard,Germany,Epic Melodic Death Metal
Amberian Dawn,amberiandawn.com/,70000tons.com/wp-content/uploads/2023/01/39_oifoif2pijf2.png,https://www.youtube.com/results?search_query=official+music%20video+Amberian%20Dawn,http://www.metal-archives.com/search?searchString=Amberian%20Dawn&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Amberian%20Dawn,Finland,Symphonic-Melodic Power Metal
Atrocity,www.atrocity.de/,70000tons.com/wp-content/uploads/2023/01/40_9oikmnji.png,https://www.youtube.com/results?search_query=official+music%20video+Atrocity,https://www.metal-archives.com/bands/Atrocity/646,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Atrocity,Germany,Death Metal-Hardcore
Deathless Legacy,deathlesslegacy.it/,70000tons.com/wp-content/uploads/2023/01/41_DEATHLESSLEGACY.png,https://www.youtube.com/results?search_query=official+music%20video+Deathless%20Legacy,http://www.metal-archives.com/search?searchString=Deathless%20Legacy&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Deathless%20Legacy,Italy,Heavy Metal
Empress,empresslegion.com/,70000tons.com/wp-content/uploads/2023/01/42_EMPRESS.png,https://www.youtube.com/results?search_query=official+music%20video+Empress,http://www.metal-archives.com/search?searchString=Empress&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Empress,United States,Progressive Symphonic-Power Metal
