Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Sat Roof-Top Party,The Clevelander,01/28/2023,1/28,17:00,02:00,Unofficial Event,https://www.dropbox.com/s/bgosrmj1jyqyelh/roofTopParty2023.txt?raw=1,,https://www.dropbox.com/s/wrjt5evxjs5uc83/roofTopParty.jpg?raw=1
Sun Beach Party,Miami Beach,01/29/2023,1/29,13:00,18:00,Unofficial Event,https://www.dropbox.com/s/59k3m3ng98u57da/beachParty2023.txt?raw=1,,https://www.dropbox.com/s/733s02oqwf2m0e8/monBeachParty.jpg?raw=1
Sun Group Photo,Miami Beach,01/29/2023,1/29,16:00,17:00,Unofficial Event,https://www.dropbox.com/s/gdqezfd97jx9yjt/beachPhotoDescription2023.txt?raw=1,,https://www.dropbox.com/s/733s02oqwf2m0e8/monBeachParty.jpg?raw=1
Sun Live Band Karaoke,The Clevelander,01/29/2023,1/29,19:00,03:00,Unofficial Event,https://www.dropbox.com/s/7dfo0yy23h45d59/mainPreParty2023-2.txt?raw=1,,https://www.dropbox.com/s/733s02oqwf2m0e8/monBeachParty.jpg?raw=1
Sun Mortician Pre-Show,Gramps 24th Street,01/29/2023,1/29,18:00,02:00,Unofficial Event,https://www.dropbox.com/s/rvcdo9wrofwyd18/ClubShowText.txt?raw=1,,https://www.dropbox.com/s/6zvaxdjfwfnhqsb/ClubShowHeader.png?raw=1
Sat Judas Priest Tribute,Piper's Pub,01/28/2023,1/28,18:00,00:00,Unofficial Event,https://www.dropbox.com/s/ukyldrop3wkbxry/judasPriestShow.txt?raw=1,,https://www.dropbox.com/s/juyloehe6xffg32/judasPriest.jpg?raw=1
Sat Hollywood Pre Party,Hollywood Brewing,01/28/2023,1/28,19:00,02:00,Unofficial Event,https://www.dropbox.com/s/1prtxylh3lgl6zs/hollywood_pre_party.txt?raw=1,,https://www.dropbox.com/s/tujhs8hp21x1djx/hollywood_pre_party.jpg?raw=1
Fri Hollywood Post Party,Hollywood Brewing,02/03/2023,2/3,17:00,02:00,Unofficial Event,https://www.dropbox.com/s/5znfd7kbn80hhvk/hollywood_post_party.txt?raw=1,,https://www.dropbox.com/s/m8xe04jvwvkpmqt/hollywood_post_party.jpg?raw=1
Sun Metal Beach Yoga,Miami Beach,01/29/2023,1/29,12:00,13:00,Unofficial Event,https://www.dropbox.com/s/5t50hg5mxzlv14m/BeachYoga.txt?raw=1,,https://www.dropbox.com/s/x1q583lxfo0rcw3/metal-yoga-bones.jpeg?raw=1
Amberian Dawn,Theater,1/30/2023,Day 1,18:00,18:45,Show, , , 
Evergrey,Theater,1/30/2023,Day 1,19:30,20:30,Show, , , 
Kamelot,Theater,1/30/2023,Day 1,21:15,22:15,Show, , , 
Kreator,Theater,1/30/2023,Day 1,23:15,00:30,Show, , , 
Insomnium,Theater,1/31/2023,Day 1,01:15,02:15,Show, , , 
Nightmare,Theater,1/31/2023,Day 1,03:00,03:45,Show, , , 
Cryptosis,Theater,1/31/2023,Day 1,04:30,05:15,Show, , , 
Iron Savior,Rink,1/30/2023,Day 1,17:15,18:00,Show, , , 
The Crown,Rink,1/30/2023,Day 1,18:45,19:30,Show, , , 
Cynic,Rink,1/30/2023,Day 1,20:30,21:15,Show, , , 
Batushka,Rink,1/30/2023,Day 1,22:15,23:15,Show, , , 
Feuerschwanz,Rink,1/31/2023,Day 1,00:15,01:15,Show, , , 
Sirenia,Rink,1/31/2023,Day 1,02:15,03:00,Show, , , 
Wolfchant,Rink,1/31/2023,Day 1,03:45,04:30,Show, , , 
Nuclear,Rink,1/31/2023,Day 1,05:15,06:00,Show, , , 
Cancer,Lounge,1/30/2023,Day 1,17:15,18:00,Show, , , 
Osyron,Lounge,1/30/2023,Day 1,18:45,19:30,Show, , , 
Sight Of Emptiness,Lounge,1/30/2023,Day 1,20:15,21:00,Show, , , 
Hideous Divinity,Lounge,1/30/2023,Day 1,21:45,22:30,Show, , , 
Empress,Lounge,1/30/2023,Day 1,23:15,00:00,Show, , , 
Fallujah,Lounge,1/31/2023,Day 1,00:45,01:30,Show, , , 
Internal Bleeding,Lounge,1/31/2023,Day 1,02:15,03:00,Show, , , 
Dear Mother,Lounge,1/31/2023,Day 1,03:45,04:30,Show, , , 
Karaoke,Sports Bar,1/31/2023,Day 1,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Karaoke Day 2,Sports Bar,2/1/2023,Day 2,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Karaoke Day 3,Sports Bar,2/2/2023,Day 3,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Freedom Call,Pool,1/31/2023,Day 2,10:00,10:45,Show, , , 
God Dethroned,Pool,1/31/2023,Day 2,11:30,12:15,Show, , , 
