bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia
Aborted,goremageddon.be/,70000tons.com/wp-content/uploads/2017/10/7643ABORTED_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Aborted,http://www.metal-archives.com/search?searchString=Aborted&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Aborted
Aeternam,www.aeternamband.com/,70000tons.com/wp-content/uploads/2017/07/AETERNAM_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Aeternam,http://www.metal-archives.com/search?searchString=Aeternam&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Aeternam
Alestorm,www.alestorm.net/,70000tons.com/wp-content/uploads/2017/07/14ALESTORM_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Alestorm,http://www.metal-archives.com/search?searchString=Alestorm&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Alestorm
Amberian Dawn,amberiandawn.com/,70000tons.com/wp-content/uploads/2017/11/9552AMBERIAN_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Amberian%20Dawn,http://www.metal-archives.com/search?searchString=Amberian%20Dawn&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Amberian%20Dawn
Battle Beast,battlebeast.fi/,70000tons.com/wp-content/uploads/2017/10/8889BATTLE_BEAST_LOGO2_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Battle%20Beast,http://www.metal-archives.com/search?searchString=Battle%20Beast&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Battle%20Beast
Belphegor,www.belphegor.at/,70000tons.com/wp-content/uploads/2018/01/5666BELPHEGOR_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Belphegor,http://www.metal-archives.com/search?searchString=Belphegor&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Belphegor
Benediction,www.facebook.com/Benediction-463721850351250/,70000tons.com/wp-content/uploads/2017/09/8555BENEDICTION_LOGO.png,https://www.youtube.com/results?search_query=official+music%20video+Benediction,http://www.metal-archives.com/search?searchString=Benediction&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Benediction
Benighted,www.facebook.com/brutalbenighted/,70000tons.com/wp-content/uploads/2017/10/5655Benighted_Logo_Web.png,https://www.youtube.com/results?search_query=official+music%20video+Benighted,http://www.metal-archives.com/search?searchString=Benighted&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Benighted
Beyond Creation,www.facebook.com/BeyondCreationOfficial,70000tons.com/wp-content/uploads/2017/10/FDGHBEKFGHYONDCREAT4GFH4ION_L4DFGHOGO_WEFGB.png,https://www.youtube.com/results?search_query=official+music%20video+Beyond%20Creation,http://www.metal-archives.com/search?searchString=Beyond%20Creation&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Beyond%20Creation
Cannibal Corpse,cannibalcorpse.net/,70000tons.com/wp-content/uploads/2017/07/11CANNIBALCORPSE_LOGO.png,https://www.youtube.com/results?search_query=official+music%20video+Cannibal%20Corpse,http://www.metal-archives.com/search?searchString=Cannibal%20Corpse&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cannibal%20Corpse
Dark Tranquillity,www.darktranquillity.com/,70000tons.com/wp-content/uploads/2017/07/DARKTRANQUILITY_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Dark%20Tranquillity,http://www.metal-archives.com/search?searchString=Dark%20Tranquillity&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dark%20Tranquillity
Destruction,www.destruction.de/,70000tons.com/wp-content/uploads/2018/01/DFGH65DEST56RUCTION_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Destruction,http://www.metal-archives.com/search?searchString=Destruction&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Destruction
Diablo Blvd,www.facebook.com/diabloboulevard/,70000tons.com/wp-content/uploads/2018/01/5233DIABLOBLVD_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Diablo%20Blvd,http://www.metal-archives.com/search?searchString=Diablo%20Blvd&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Diablo%20Blvd
Die Apokalyptischen Reiter,www.reitermania.de/,70000tons.com/wp-content/uploads/2017/09/96220DIEAPOK_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Die%20Apokalyptischen%20Reiter,http://www.metal-archives.com/search?searchString=Die%20Apokalyptischen%20Reiter&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Die%20Apokalyptischen%20Reiter
Enslaved,enslaved.no/,70000tons.com/wp-content/uploads/2017/07/ENSLAVED_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Enslaved,http://www.metal-archives.com/search?searchString=Enslaved&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Enslaved
Evergrey,www.evergrey.net/,70000tons.com/wp-content/uploads/2017/10/9666EVERGREY_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Evergrey,http://www.metal-archives.com/search?searchString=Evergrey&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Evergrey
Evertale,www.evertale.eu/,70000tons.com/wp-content/uploads/2018/01/12GRTEVEJYRTALE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Evertale,http://www.metal-archives.com/search?searchString=Evertale&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Evertale
Exciter,www.facebook.com/excitercanada,70000tons.com/wp-content/uploads/2017/10/DFGHE476XCITE467RFG_LO34GO_WE46B.png,https://www.youtube.com/results?search_query=official+music%20video+Exciter,http://www.metal-archives.com/search?searchString=Exciter&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Exciter
Exhumed,www.facebook.com/ExhumedOfficial,70000tons.com/wp-content/uploads/2017/11/52336EXHDSFG4UMED_LOG464O_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Exhumed,http://www.metal-archives.com/search?searchString=Exhumed&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Exhumed
Exodus,exodusattack.com/,70000tons.com/wp-content/uploads/2018/01/26500EXODUS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Exodus,http://www.metal-archives.com/search?searchString=Exodus&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Exodus
Freedom Call,freedom-call.net/,70000tons.com/wp-content/uploads/2017/10/FREEDOM_CfgjfALL_LOGO_WEB_ADA7sdf45.png,https://www.youtube.com/results?search_query=official+music%20video+Freedom%20Call,http://www.metal-archives.com/search?searchString=Freedom%20Call&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Freedom%20Call
Goatwhore,www.goatwhore.net/,70000tons.com/wp-content/uploads/2017/07/GOATWHORE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Goatwhore,http://www.metal-archives.com/search?searchString=Goatwhore&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Goatwhore
Gyze,gyze.jp/,70000tons.com/wp-content/uploads/2017/07/13GYZE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Gyze,http://www.metal-archives.com/search?searchString=Gyze&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Gyze
In Extremo,www.inextremo.de/,70000tons.com/wp-content/uploads/2017/07/INEXTREMO_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+In%20Extremo,http://www.metal-archives.com/search?searchString=In%20Extremo&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:In%20Extremo
In Mourning,www.facebook.com/inmourningband/,70000tons.com/wp-content/uploads/2018/01/799DIDFGDNMOURNINSDFG_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+In%20Mourning,http://www.metal-archives.com/search?searchString=In%20Mourning&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:In%20Mourning
Insomnium,www.insomnium.net/,70000tons.com/wp-content/uploads/2017/07/INSOMNIUM_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Insomnium,http://www.metal-archives.com/search?searchString=Insomnium&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Insomnium
Internal Bleeding,www.internal-bleeding.com/,70000tons.com/wp-content/uploads/2017/11/3200INTERNALBLEEDING_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Internal%20Bleeding,http://www.metal-archives.com/search?searchString=Internal%20Bleeding&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Internal%20Bleeding
Kataklysm,kataklysm.ca/,70000tons.com/wp-content/uploads/2018/01/52377KATAKLYSM_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Kataklysm,http://www.metal-archives.com/search?searchString=Kataklysm&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Kataklysm
Korpiklaani,korpiklaani.com/,70000tons.com/wp-content/uploads/2017/07/KORPIKLAANI_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Korpiklaani,http://www.metal-archives.com/search?searchString=Korpiklaani&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Korpiklaani
Kreator,kreator-terrorzone.de/,70000tons.com/wp-content/uploads/2017/07/16KREATOR_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Kreator,http://www.metal-archives.com/search?searchString=Kreator&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Kreator
Leaves Eyes,www.leaveseyes.de/,70000tons.com/wp-content/uploads/2018/01/1988LEAFGHVESEYES_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Leaves%20Eyes,http://www.metal-archives.com/search?searchString=Leaves%20Eyes&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Leaves%20Eyes
Majestic Downfall,majesticdownfall.bandcamp.com/,70000tons.com/wp-content/uploads/2018/01/56MADGHJJESTICDOWNFALL_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Majestic%20Downfall,http://www.metal-archives.com/search?searchString=Majestic%20Downfall&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Majestic%20Downfall
Masterplan,www.masterplan-theband.com/,70000tons.com/wp-content/uploads/2017/10/14588MASTERPLAN_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Masterplan,http://www.metal-archives.com/search?searchString=Masterplan&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Masterplan
Meshuggah,www.meshuggah.net/,70000tons.com/wp-content/uploads/2017/07/MESHUGGAH_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Meshuggah,http://www.metal-archives.com/search?searchString=Meshuggah&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Meshuggah
Metal Church,www.metalchurchofficial.com/,70000tons.com/wp-content/uploads/2017/09/5866METALCHURCH_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Metal%20Church,http://www.metal-archives.com/search?searchString=Metal%20Church&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Metal%20Church
Naglfar,www.naglfar.net/,70000tons.com/wp-content/uploads/2017/10/5744NAGLFAR_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Naglfar,http://www.metal-archives.com/search?searchString=Naglfar&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Naglfar
Necrophobic,www.necrophobic.net/,70000tons.com/wp-content/uploads/2017/07/NECROPHOBIC_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Necrophobic,http://www.metal-archives.com/search?searchString=Necrophobic&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Necrophobic
