Band,URL,Date
Arcturus,https://www.dropbox.com/scl/fi/x051r1fp99xh7uib8u692/Arcturus.txt?rlkey=t4czh3bdzdx62tczzedbq9506&st=vjdwy8je&raw=1,05-29-2023
Benighted,https://www.dropbox.com/scl/fi/lrrdh5pkiqp01rjs5mloe/Benighted.txt?rlkey=ezglkrnvqe4ic0dy3buzwnkzw&st=c526ui9p&raw=1,05-06-2024
Beyond Creation,https://www.dropbox.com/scl/fi/rlf23ehjowzxqu7bjuphy/Beyond-Creation.txt?rlkey=zxv115uw469c5ti15so2q0u3n&st=zcpt9clc&raw=1,05-12-2024
Candlemass,https://www.dropbox.com/scl/fi/1w85n5fb0d1vxm0gpfa51/Candlemass.txt?rlkey=jnr3eg2w9hvr1kfsyia61mmr9&st=a0t4nyxj&raw=1,05-14-2024
Decapitated,https://www.dropbox.com/scl/fi/ra24uwvqglyaklcw1ojp0/Decapitated.txt?rlkey=6tsx7crlrsurmr5egkh4ru8oo&st=dewtogc1&raw=1,05-19-2024
Delain,https://www.dropbox.com/scl/fi/q6qlxadpq6lefrs43b1h0/Delain.txt?rlkey=qoztqslwd0hstz1xxucijsjbj&st=mtpmgoj3&raw=1,05-19-2024
Emperor,https://www.dropbox.com/scl/fi/27rj2ghnw5bhe374voes3/Emperor.txt?rlkey=lkmj4difgqeqiovyo2n3t35jy&st=ckysce28&raw=1,05-19-2024
Flotsam And Jetsam,https://www.dropbox.com/scl/fi/yb3fh6tb8wd5rmcb47oi2/Flotsam-And-Jetsam.txt?rlkey=8ztg6oijlv6x7gp0p8cho45n7&st=bh6e5t0r&raw=1,05-20-2024
Hammerfall,https://www.dropbox.com/scl/fi/6ye1wtpe06dsd42v7cw1j/Hammerfall.txt?rlkey=n52nzdlrw9ky38ndh3h9jnlg7&st=qv6hk2yd&raw=1,05-20-2024
In Extremo,https://www.dropbox.com/scl/fi/dux616brqlgm3mz5disd9/In-Extremo.txt?rlkey=s6j90190gwp2fs4c7jp7f4usy&st=2ovp9ous&raw=1,05-26-2024
Kalmah,https://www.dropbox.com/scl/fi/h39susllrjngwssaqtf1e/Kalmah.txt?rlkey=hjx5ubbmt81meqaqlfk0telud&st=v7o7jmo6&raw=1,05-26-2024
Crownshift,https://www.dropbox.com/scl/fi/f5iohpk3wfzlsyvxanbhd/Crownshift.txt?rlkey=bwo6twy8fs2lpohnew4qe1okr&st=vsnowabp&raw=1,08-17-2024
Finntroll,https://www.dropbox.com/scl/fi/tixvzpj785uma5ki06f4w/Finntroll.txt?rlkey=0okfvisq0f6wnlv0qgfzhblsj&st=bs3u8us1&raw=1,08-17-2024
Majestica,https://www.dropbox.com/scl/fi/05pdpcyav7uz2r2upqwxt/Majestica.txt?rlkey=6rcha79et5uep83780vcjpxxx&st=8i3zupf6&raw=1,08-18-2024
Mork,https://www.dropbox.com/scl/fi/zq21u1t0ml7e3wuo5r93u/Mork.txt?rlkey=4s04qw01ax5sv4ll2fv2se1bv&st=56xqff0i&raw=1,08-18-2024
Onslaught,https://www.dropbox.com/scl/fi/n1ipr6zge27s90hlp3cqa/Onslaught.txt?rlkey=kd1vvntmyj5r3kc1wrwynioev&st=8s898n5t&raw=1,09-01-2024
Samael,https://www.dropbox.com/scl/fi/ob03pqrc5vsi5u8150y2f/Samael.txt?rlkey=mrqqxfr2q8z3ce3xj4l2clqnj&st=y3s633mb&raw=1,09-01-2024
Ihsahn,https://www.dropbox.com/scl/fi/c39zeony313v4wrycz1tg/Ihsahn.txt?rlkey=djp0agg41ibjs1goq3uxh4tnj&st=oz2v98yu&raw=1,09-21-2024
Krisiun,https://www.dropbox.com/scl/fi/688inhuai98rw31m3ca08/Krisiun.txt?rlkey=3gkd1isu21z11h56y005qp80i&st=7s6i4hdx&raw=1,09-21-2024
Septicflesh,https://www.dropbox.com/scl/fi/wsmtgpxbo1dtr5pxp07hv/Septicflesh.txt?rlkey=0yszuma7e1rs31al1r2vevyeh&st=6tev3jok&raw=1,09-22-2024
Sepultura,https://www.dropbox.com/scl/fi/wy41xvlxvosd79cfyl23c/Sepultura.txt?rlkey=5k5057e891e96hcku24lsmyq9&st=vrwnxl31&raw=1,09-24-2024
Sonata Arctica,https://www.dropbox.com/scl/fi/ngyecx2vum0iyveovy6c5/Sonata-Arctica.txt?rlkey=68s8e4kt0ucimme2z9knr9pza&raw=1,09-26-2024
Stratovarius,https://www.dropbox.com/scl/fi/4vt4smi7ytskkbocc1112/Stratovarius.txt?rlkey=rdynux5pkf71uf0svqby082xf&raw=1,09-26-2024
Subway To Sally,https://www.dropbox.com/scl/fi/lu1gpnvpc6laihj62fj1b/Subway-To-Sally.txt?rlkey=0zug3fi3tuw239shilvjp00ws&dl=0&raw=1,09-26-2024
Swallow The Sun,https://www.dropbox.com/scl/fi/7qsmeecf5ep3o1oa18jxf/Swallow-The-Sun.txt?rlkey=y2x8q3t2n3cj638k6jnwlbnyd&raw=1,10-01-2024
Tankard,https://www.dropbox.com/scl/fi/t9je63mvl0zz0ordql5bg/Tankard.txt?rlkey=yeeer84buj98fz3oqulaqkzz6&raw=1,10-06-2024
The Kovenant,https://www.dropbox.com/scl/fi/3eij13u41lzjglh0dvjr5/The-Kovenant.txt?rlkey=p4rs5isxk1musp8de063hk8b8&raw=1,10-06-2024
The Zenith Passage,https://www.dropbox.com/scl/fi/efz4o28e3nxkbncp4kqpd/The-Zenith-Passage.txt?rlkey=j8p7gieywa3wpdwqkn9r6fjin&raw=1,10-07-2024
Mon-Survivor Documentary,https://www.dropbox.com/scl/fi/68zx062bucvicucy52hnl/private_screening.txt?rlkey=d3vhwssziejrgzdhr08jtmpnq&raw=1,11-01-2024
Tue-Hollywood Party,https://www.dropbox.com/scl/fi/f8eaef0sff7ijfk6sveth/hollywood_pre_party.txt?rlkey=z15xywc97d8129jltx2kv4cbv&raw=1,10-19-2024
Mon-Post Cruise Party,https://www.dropbox.com/scl/fi/ezgy78n0p4ilbvfjc1rlv/hollywood_post_party.txt?rlkey=y4860ovb6vusud85rawha6l4y&raw=1,10-19-2024
Trollfest,https://www.dropbox.com/scl/fi/bd3jsjz9giotxg42z2ydm/Trollfest.txt?rlkey=dweoe4lrxpyczkn4vlnv8wjmc&st=zwwf431h&raw=1,10-20-2024
