bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,priorYears
Gama Bomb,www.facebook.com/gamabomb/,70000tons.com/wp-content/uploads/2025/07/GAMABOMB_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Gama%20Bomb,http://www.metal-archives.com/search?searchString=Gama%20Bomb&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Gama%20Bomb,United Kingdom,Thrash Metal,,Never
Insomnium,www.insomnium.net/,70000tons.com/wp-content/uploads/2025/07/INSOMNIUM_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Insomnium,http://www.metal-archives.com/search?searchString=Insomnium&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Insomnium,Finland,Melodic Death Metal,,2023 2018 2016
Saturnus,saturnus.dk/,70000tons.com/wp-content/uploads/2025/07/SATURNUS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Saturnus,http://www.metal-archives.com/search?searchString=Saturnus&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Saturnus,Denmark,Melodic Doom/Death Metal,,Never
Hiraes,www.hiraes.com/,70000tons.com/wp-content/uploads/2025/07/HIRAES_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Hiraes,http://www.metal-archives.com/search?searchString=Hiraes&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Hiraes,Germany,Melodic Death Metal,,Never
Wind Rose,www.windroseofficial.com/,70000tons.com/wp-content/uploads/2025/07/WINDROSE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Wind%20Rose,http://www.metal-archives.com/search?searchString=Wind%20Rose&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Wind%20Rose,Italy,Folk/Power Metal,,2024
Xandria,www.xandria.de/,70000tons.com/wp-content/uploads/2025/07/XANDRIA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Xandria,http://www.metal-archives.com/search?searchString=Xandria&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Xandria,Germany,Symphonic Metal,,2017 2014
Satan,www.facebook.com/officialsatanpage/,70000tons.com/wp-content/uploads/2025/07/SATAN_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Satan,https://www.metal-archives.com/bands/Satan/774,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Satan,United Kingdom,NWOBHM/Heavy Metal,,Never
Soen,soenmusic.com/,70000tons.com/wp-content/uploads/2025/07/SOEN_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Soen,http://www.metal-archives.com/search?searchString=Soen&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Soen,Sweden,Progressive Metal,,2020
Vader,www.facebook.com/vader/,70000tons.com/wp-content/uploads/2025/07/VADER_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Vader,http://www.metal-archives.com/search?searchString=Vader&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vader,Poland,Death/Thrash Metal,,2016
Soilwork,www.soilwork.org/,70000tons.com/wp-content/uploads/2025/07/SOILWORK_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Soilwork,https://www.metal-archives.com/bands/Soilwork/26,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Soilwork,Sweden,Melodic Death-Metalcore-Melodic Groove,,2020 2014
