bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,priorYears
Dark Tranquillity,www.darktranquillity.com/,70000tons.com/wp-content/uploads/2025/06/DARKTRANQUILITY_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Dark%20Tranquility,http://www.metal-archives.com/search?searchString=Dark%20Tranquility&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dark%20Tranquility,Sweden,Melodic Death Metal,,2023 2018 2014 2011
Beast In Black,beastinblack.com/,70000tons.com/wp-content/uploads/2025/06/BEASTINBLACK_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Beast%20In%20Black,http://www.metal-archives.com/search?searchString=Beast%20In%20Black&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Beast%20In%20Black,Finland,Heavy/Power Metal - Hard Rock,,Never
Tyr,tyr.fo/,70000tons.com/wp-content/uploads/2025/06/TYR_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Tyr,https://www.metal-archives.com/bands/Týr/14435,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tyr,Faroe Islands,Folk Metal,,2019 2016 2013 2011
Harakiri For The Sky,www.facebook.com/HarakiriForTheSky/,70000tons.com/wp-content/uploads/2025/06/HARAKIRI_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Harakiri%20For%20The%20Sky,http://www.metal-archives.com/search?searchString=Harakiri%20For%20The%20Sky&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Harakiri%20For%20The%20Sky,Austria,Post-Black Metal,,Never
Orden Ogan,ordenogan.de/,70000tons.com/wp-content/uploads/2025/06/ORDENOGAN_LOGO_WEB2_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Orden%20Ogan,http://www.metal-archives.com/search?searchString=Orden%20Ogan&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:%20,Germany,Power Metal,,2017
Heathen,www.facebook.com/heathen.official,70000tons.com/wp-content/uploads/2025/06/HEATHEN_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Heathen,https://www.metal-archives.com/bands/Heathen/378,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Heathen,United States,Technical Speed/Thrash Metal,,2015
Haggard,www.haggard.de/,70000tons.com/wp-content/uploads/2025/06/HAGGARD_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Haggard,https://www.metal-archives.com/bands/Haggard/63,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Haggard,Germany,Classical-Orchestral-Symphonic Metal,,2020 2017 2014
Rhapsody Of Fire,www.rhapsodyoffire.com/,70000tons.com/wp-content/uploads/2025/06/RHAPSODYOFFIRE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Rhapsody%20Of%20Fire,http://www.metal-archives.com/search?searchString=Rhapsody%20Of%20Fire&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Rhapsody%20Of%20Fire,Italy,Symphonic Power Metal,,2016 2018
Skeletal Remains,www.skeletal-remains.com/home,70000tons.com/wp-content/uploads/2025/06/SKELETAL_REMAINS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Skeletal%20Remains,https://www.metal-archives.com/bands/Skeletal_Remains/3540331659,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Skeletal%20Remains,United States,Death Metal,,Never
Persefone,persefone.com/,70000tons.com/wp-content/uploads/2025/06/PERSEFONE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Persefone,https://www.metal-archives.com/bands/Persefone/12779,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Persefone,Andorra,Progressive-Melodic Death Metal,,2019
Amorphis,amorphis.net/,70000tons.com/wp-content/uploads/2025/07/AMORPHIS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Amorphis,http://www.metal-archives.com/search?searchString=Amorphis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Amorphis,Finland,Melodic Heavy Metal,,2023 2017 2015 2012
Hour Of Penance,www.facebook.com/hourofpenance/,70000tons.com/wp-content/uploads/2025/07/HOUROFPENANCE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Hour%20Of%20Penance,http://www.metal-archives.com/search?searchString=Hour%20Of%20Penance&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Hour%20Of%20Penance,Italy,Technical/Brutal Death Metal,,Never
Hirax,www.facebook.com/HIRAXOfficial/,70000tons.com/wp-content/uploads/2025/07/HIRAX_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Hirax,http://www.metal-archives.com/search?searchString=Hirax&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Hirax,United States,Thrash/Speed Metal/Crossover,,Never
Groza,www.facebook.com/grozaband/,70000tons.com/wp-content/uploads/2025/07/GROZA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Groza,https://www.metal-archives.com/bands/Groza/3540444507,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Groza,Germany,Black Metal,,Never
Firewind,firewind.gr/,70000tons.com/wp-content/uploads/2025/07/FIREWIND_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Firewind,http://www.metal-archives.com/search?searchString=Firewind&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Firewind,Greece,Heavy/Power Metal,,2016
Vio-Lence,www.facebook.com/vioofficialpage/,70000tons.com/wp-content/uploads/2025/07/VIO-LENCE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Vio-Lence,http://www.metal-archives.com/search?searchString=Vio-Lence&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vio-Lence,United States,Thrash,,2020
Kamelot,kamelot.com/,70000tons.com/wp-content/uploads/2025/07/KAMELOT_LOGO2_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Kamelot,http://www.metal-archives.com/search?searchString=Kamelot&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Kamelot,United States,Progressive-Melodic Power Metal,,2023 2019 2017 2012
Ereb Altor,www.erebaltor.com/,70000tons.com/wp-content/uploads/2025/07/EREB_ALTOR_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Ereb%20Altor,http://www.metal-archives.com/search?searchString=Ereb%20Altor&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Ereb%20Altor,Sweden,Epic Doom-Black Metal,,2020
Eluveitie,eluveitie.ch/,70000tons.com/wp-content/uploads/2025/07/ELUVEITIE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Eluveitie,http://www.metal-archives.com/search?searchString=Eluveitie&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Eluveitie,Switzerland,Folk Metal,,2019 2016
Seven Spires,www.sevenspiresband.com/,70000tons.com/wp-content/uploads/2025/07/SEVENSPIRES_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Seven%20Spires,http://www.metal-archives.com/search?searchString=Seven%20Spires&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Seven%20Spires,United States,Symphonic Metal,,2018
Dodheimsgard,www.facebook.com/DODHEIMSGARD/,70000tons.com/wp-content/uploads/2025/07/DODHEIMSGARD_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Dodheimsgard,http://www.metal-archives.com/search?searchString=Dodheimsgard&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dodheimsgard,Norway,Black Metal/Avant-garde/Black/Industrial Metal,,Never
