Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Sabaton,Theater,01/28/2013,Day 1,18:00,19:00,Show, , , 
Nile,Theater,01/28/2013,Day 1,19:45,20:45,Show, , , 
Helloween,Theater,01/28/2013,Day 1,21:30,22:45,Show, , , 
DragonForce,Theater,01/28/2013,Day 1,23:30,00:30,Show, , , 
Tiamat,Theater,01/29/2013,Day 1,01:30,02:30,Show, , , 
Metal Church,Pool,01/29/2013,Day 1,00:30,01:30,Show, , , 
Turisas,Pool,01/29/2013,Day 1,02:30,03:30,Show, , , 
3 Inches Of Blood,Pool,01/29/2013,Day 1,04:15,05:00,Show, , , 
Helstar,Lounge,01/28/2013,Day 1,17:30,18:15,Show, , , 
Delain,Lounge,01/28/2013,Day 1,19:00,19:45,Show, , , 
Flotsam and Jetsam,Lounge,01/28/2013,Day 1,20:45,21:30,Show, , , 
Lizzy Borden,Lounge,01/28/2013,Day 1,22:45,23:30,Show, , , 
Threat Signal,Lounge,01/29/2013,Day 1,00:15,01:00,Show, , , 
Immolation,Lounge,01/29/2013,Day 1,01:45,02:30,Show, , , 
Inquisition,Lounge,01/29/2013,Day 1,03:30,04:15,Show, , , 
Karaoke,Boleros Lounge,01/29/2013,Day 1,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Angra,Theater,01/29/2013,Day 2,17:00,18:00,Show, , , 
Doro,Theater,01/29/2013,Day 2,19:00,20:00,Show, , , 
In Flames,Theater,01/29/2013,Day 2,23:15,00:30,Show, , , 
Subway To Sally,Theater,01/30/2013,Day 2,01:30,02:30,Show, , , 
Unexpect,Pool,01/29/2013,Day 2,10:00,10:45,Show, , , 
Arkona,Pool,01/29/2013,Day 2,11:30,12:15,Show, , , 
Onslaught,Pool,01/29/2013,Day 2,13:00,13:45,Show, , , 
Anaal Nathrakh,Pool,01/29/2013,Day 2,14:30,15:15,Show, , , 
Ensiferum,Pool,01/29/2013,Day 2,16:00,17:00,Show, , , 
Evergrey,Pool,01/29/2013,Day 2,18:00,19:00,Show, , , 
Lacuna Coil,Pool,01/29/2013,Day 2,20:00,21:00,Show, , , 
Kreator,Pool,01/29/2013,Day 2,22:15,23:15,Show, , , 
Gotthard,Pool,01/30/2013,Day 2,00:30,01:30,Show, , , 
Sinister,Pool,01/30/2013,Day 2,02:30,03:15,Show, , , 
Tyr,Pool,01/30/2013,Day 2,04:00,04:45,Show, , , 
Steel Engraved,Lounge,01/29/2013,Day 2,10:45,11:30,Show, , , 
ETECC,Lounge,01/29/2013,Day 2,12:15,13:00,Show, , , 
Fatal Smile,Lounge,01/29/2013,Day 2,13:45,14:30,Show, , , 
Nightmare,Lounge,01/29/2013,Day 2,15:15,16:00,Show, , , 
Cryptopsy,Lounge,01/29/2013,Day 2,16:45,17:30,Show, , , 
Anacrusis,Lounge,01/29/2013,Day 2,18:15,19:00,Show, , , 
Heidevolk,Lounge,01/29/2013,Day 2,19:45,20:30,Show, , , 
Die Apokalyptischen Reiter,Lounge,01/30/2013,Day 2,00:15,01:00,Show, , , 
Holy Grail,Lounge,01/30/2013,Day 2,01:45,02:30,Show, , , 
Ektomorf,Lounge,01/30/2013,Day 2,03:15,04:00,Show, , , 
Rage,Dining Room,01/29/2013,Day 2,12:00,12:30,Meet and Greet, , , 
Tyr,Dining Room,01/29/2013,Day 2,12:00,12:30,Meet and Greet, , , 
Doro,Dining Room,01/29/2013,Day 2,12:30,13:00,Meet and Greet, , , 
Sabaton,Dining Room,01/29/2013,Day 2,12:30,13:00,Meet and Greet, , , 
Helloween,Dining Room,01/29/2013,Day 2,13:00,13:45,Meet and Greet, , , 
Kreator,Dining Room,01/29/2013,Day 2,13:45,14:30,Meet and Greet, , , 
Lacuna Coil,Dining Room,01/29/2013,Day 2,14:30,15:15,Meet and Greet, , , 
In Flames,Dining Room,01/29/2013,Day 2,15:15,16:00,Meet and Greet, , , 
DragonForce,Dining Room,01/29/2013,Day 2,16:00,16:45,Meet and Greet, , , 
3 Inches Of Blood,Dining Room,01/29/2013,Day 2,16:45,17:15,Meet and Greet, , , 
Lizzy Borden,Dining Room,01/29/2013,Day 2,16:45,17:15,Meet and Greet, , , 
Sinister,Dining Room,01/29/2013,Day 2,17:15,17:45,Meet and Greet, , , 
Delain,Dining Room,01/29/2013,Day 2,17:15,17:45,Meet and Greet, , , 
Nightmare,Dining Room,01/29/2013,Day 2,17:45,18:15,Meet and Greet, , , 
Arkona,Dining Room,01/29/2013,Day 2,17:45,18:15,Meet and Greet, , , 
Holy Grail,Dining Room,01/29/2013,Day 2,18:15,18:45,Meet and Greet, , , 
Threat Signal,Dining Room,1/29/2013,Day 2,18:15,18:45,Meet and Greet, , , 
Gotthard,Dining Room,1/29/2013,Day 2,18:45,19:00,Meet and Greet, , , 
Nile,Dining Room,1/29/2013,Day 2,18:45,19:00,Meet and Greet, , , 
Helstar,Dining Room,1/29/2013,Day 2,19:15,19:45,Meet and Greet, , , 
Ensiferum,Dining Room,1/29/2013,Day 2,19:15,19:45,Meet and Greet, , , 
Metal Church,Dining Room,1/29/2013,Day 2,19:45,20:15,Meet and Greet, , , 
Subway To Sally,Dining Room,1/29/2013,Day 2,19:45,20:15,Meet and Greet, , , 
Flotsam and Jetsam,Dining Room,1/29/2013,Day 2,20:15,20:45,Meet and Greet, , , 
Turisas,Dining Room,1/29/2013,Day 2,20:15,20:45,Meet and Greet, , , 
Onslaught,Dining Room,1/29/2013,Day 2,20:45,21:15,Meet and Greet, , , 
Unexpect,Dining Room,1/29/2013,Day 2,20:45,21:15,Meet and Greet, , , 
Evergrey,Dining Room,1/29/2013,Day 2,21:15,21:45,Meet and Greet, , , 
Tiamat,Dining Room,1/29/2013,Day 2,21:15,21:45,Meet and Greet, , , 
Angra,Dining Room,1/29/2013,Day 2,21:45,22:15,Meet and Greet, , , 
Inquisition,Dining Room,1/29/2013,Day 2,21:45,22:15,Meet and Greet, , , 
Anaal Nathrakh,Dining Room,1/29/2013,Day 2,22:15,22:45,Meet and Greet, , , 
Die Apokalyptischen Reiter,Dining Room,1/29/2013,Day 2,22:15,22:45,Meet and Greet, , , 
Anacrusis,Dining Room,1/29/2013,Day 2,22:45,23:15,Meet and Greet, , , 
Immolation,Dining Room,1/29/2013,Day 2,22:45,23:15,Meet and Greet, , , 
ETECC,Dining Room,1/29/2013,Day 2,23:45,00:15,Meet and Greet, , , 
Fatal Smile,Dining Room,1/29/2013,Day 2,23:45,00:15,Meet and Greet, , , 
Ektomorf,Dining Room,1/30/2013,Day 2,00:15,00:45,Meet and Greet, , , 
Steel Engraved,Dining Room,1/30/2013,Day 2,00:15,00:45,Meet and Greet, , , 
All Star Jam,Boleros Lounge,1/29/2013,Day 2,16:00,18:00,Special Event,https://www.dropbox.com/s/sx91i6btlmuh27m/Jamming%20In%20International%20Waters.txt?raw=1,,https://www.dropbox.com/s/cb0a6mvq760tjru/jammingWithWaters.png?raw=1
Cryptopsy,Boleros Lounge,1/29/2013,Day 2,21:45,22:15,Meet and Greet, , , 
Heidevolk,Boleros Lounge,1/29/2013,Day 2,21:45,22:15,Meet and Greet, , , 
Rage,Theater,1/29/2013,Day 2,21:00,22:15,Show, , , 
Karaoke,Boleros Lounge,1/30/2013,Day 2,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Vika Goes Wild,Centrum,1/29/2013,Day 2,11:00,12:00,Special Event, ,, 
Vika Goes Wild,Schooner Bar,1/29/2013,Day 2,19:00,20:00,Special Event, ,, 
Turisas,Theater,1/30/2013,Day 3,17:30,18:30,Show, , , 
Metal Church,Theater,1/30/2013,Day 3,19:30,20:30,Show, , , 
Ensiferum,Theater,1/30/2013,Day 3,21:30,22:30,Show, , , 
Lacuna Coil,Theater,1/30/2013,Day 3,23:45,00:45,Show, , , 
Subway To Sally,Pool,1/30/2013,Day 3,16:30,17:30,Show, , , 
Angra,Pool,1/30/2013,Day 3,18:30,19:30,Show, , , 
Doro,Pool,1/30/2013,Day 3,20:30,21:30,Show, , , 
Helloween,Pool,1/30/2013,Day 3,22:30,23:45,Show, , , 
Nile,Pool,1/31/2013,Day 3,00:45,01:45,Show, , , 
Helstar,Pool,1/31/2013,Day 3,02:30,03:15,Show, , , 
Immolation,Pool,1/31/2013,Day 3,04:00,04:45,Show, , , 
