Band,URL,Date
Aborted,https://www.dropbox.com/s/1e2mvnuksr15gp3/Aborted.txt?raw=1,05-29-2023
Angra,https://www.dropbox.com/s/fnd7h49hhyl8xlp/Angra.txt?raw=1,05-29-2023
Crypta,https://www.dropbox.com/s/w2guglalpu68k31/Crypta.txt?raw=1,05-30-2023
Blood Red Throne,https://www.dropbox.com/s/8eptzn5wv9jkn4v/Blood%20Red%20Throne.txt?raw=1,06-01-2023
Draconian,https://www.dropbox.com/scl/fi/11wucwbakroka1rr86llq/Draconian.txt?rlkey=43nck8b9vdwrir6iqzgkb5yve&raw=1,01-14-2024
Epica,https://www.dropbox.com/s/t30hhp2fxf1h5yc/Epica.txt?raw=1,06-03-2023
Equilibrium,https://www.dropbox.com/s/8cuxzj4qa5tgqmx/Equilibrium.txt?raw=1,06-03-2023
Lord of the Lost,https://www.dropbox.com/s/r9a4zkevwc3fhq6/Lord%20of%20the%20Lost.txt?raw=1,06-03-2023
Nanowar Of Steel,https://www.dropbox.com/s/l3yqhb3jlmagf8g/Nanowar%20of%20Steel.txt?raw=1,06-04-2023
Nervosa,https://www.dropbox.com/s/4bcr096hta4zoci/Nervosa.txt?raw=1,06-04-2023
Nile,https://www.dropbox.com/s/9kep2hnkjux68ps/Nile.txt?raw=1,06-04-2023
Sodom,https://www.dropbox.com/s/5tdn52dy7j5foqn/Sodom.txt?raw=1,06-04-2023
The Halo Effect,https://www.dropbox.com/s/bfno6w4vio2kj0y/The%20Halo%20Effect.txt?raw=1,06-10-2023
Thyrfing,https://www.dropbox.com/s/p1m7dfwn2g9j27e/Thyrfing.txt?raw=1,06-10-2023
Unleashed,https://www.dropbox.com/s/dlndydwafr1nzxt/Unleashed.txt?raw=1,06-10-2023
Warkings,https://www.dropbox.com/s/fiospsmmbq0t01q/Warkings.txt?raw=1,06-10-2023
Sun - Metal Beach Yoga,https://www.dropbox.com/s/776xbhx2gswuyfy/Sun_Beach_Yoga.txt?dl=1,07-30-2023
Sun - Beach Party,https://www.dropbox.com/s/sqo7bxd4bx0x8e7/Sun_Miami_Beach_Party.txt?dl=1,07-30-2023
Sun - Beach Photo,https://www.dropbox.com/s/sqo7bxd4bx0x8e7/Sun_Miami_Beach_Party.txt?dl=1,07-30-2023
Sun - Live Band Karaoke,https://www.dropbox.com/s/4fargb904ddsa8s/Sun_Miami_Karaoke.txt?raw=1,07-30-2023
Sat - Metal Beach Bash,https://www.dropbox.com/s/nk8vbgoio9jguud/Sat_Miami_Party.txt?dl=1,08-01-2023
Fri - Roof-Top Party,https://www.dropbox.com/s/7dfo0yy23h45d59/Friday_Miami_Party.txt?dl=1,07-30-2023
Sat - Hollywood Party,https://www.dropbox.com/s/vtjo5d76z4mf2lc/hollywood_pre_party.txt?raw=1,07-30-2023
Fri - Post Cruise Party,https://www.dropbox.com/s/3w8e75p7zs7ndkc/hollywood_post_party.txt?raw=1,08-03-2023
Blind Guardian,https://www.dropbox.com/scl/fi/3oda5oi95ekyx1ewrrfvk/Blind-Guardian.txt?rlkey=1p4s5jdppdi6508wwfry21myn&raw=1,08-19-23
Dalriada,https://www.dropbox.com/scl/fi/vdj360vqyewuvqsvyknv3/Dalriada.txt?rlkey=js0yre2nywqdi3t5jhe2b7lgr&raw=1,08-19-23
Fleshgod Apocalypse,https://www.dropbox.com/scl/fi/zxc6kwhz2vzjc6r4xl6mm/Fleshgod-Apocalypse.txt?rlkey=oem4mw1nx9rhlrgvufmf1thbr&raw=1
Depressive Age,https://www.dropbox.com/scl/fi/mqlq5istax64spkvfr8sp/Depressive-Age.txt?rlkey=d46jfixc9c7h79404oqceu54v&raw=1,08-20-23
Dynazty,https://www.dropbox.com/scl/fi/05sn45cxrqhvcnihevne3/Dynazty.txt?rlkey=ajk1z04kq9xfkhmox7s72088h&raw=1,08-20-23
Grave Digger,https://www.dropbox.com/scl/fi/7w5dno18bauiqc188c7l2/Grave-Digger.txt?rlkey=5mwl2tzkuvltxvvhft5eycvfi&raw=1,08-20-23
Heidevolk,https://www.dropbox.com/scl/fi/dk8cjc8wxwe8ikbauhw5v/Heidevolk.txt?rlkey=x39stojko9a1bp946t9k21ft7&raw=1,08-20-23
Infected Rain,https://www.dropbox.com/scl/fi/7ozk5vcpjstpww6m1e3hv/Infected-Rain.txt?rlkey=fnjmermt7kt7dkqkdjmxopbl6&raw=1,09-03-23
Iotunn,https://www.dropbox.com/scl/fi/n36357h5mdtyyantgabm9/Iotunn.txt?rlkey=f45ah1spyz650dp2wn12xm4r0&raw=1,09-04-23
Kataklysm,https://www.dropbox.com/scl/fi/etkj2or5zrtyknsfrirsh/Kataklysm.txt?rlkey=g65vcthcgxbyketj6jggi5eje&raw=1,09-04-23
Legion of the Damned,https://www.dropbox.com/scl/fi/tcisxv98yzkrxr2zfbi60/Legion-of-the-Damned.txt?rlkey=jsoawtqiqyfvtixr1ov2vt4fh&raw=1,09-05-23
Marduk,https://www.dropbox.com/scl/fi/4hoqsokjb723kp0ffjtdf/Marduk.txt?rlkey=kwl9lbr76ysbfqrvou6g4aig6&raw=1,09-05-23
My Dying Bride,https://www.dropbox.com/scl/fi/u7yu6mjcq1gw4loktkvzt/My-Dying-Bride.txt?rlkey=7gyzjzws334yzgleff0nvjgu7&raw=1,09-05-23
Mystic Prophecy,https://www.dropbox.com/scl/fi/smm50eb8plyqtlff7wtp4/Mystic-Prophecy.txt?rlkey=m4dnvbdasais0tzoapcp3vuh7&raw=1,09-09-23
Omnium Gatherum,https://www.dropbox.com/scl/fi/t843aohqtguruwv542rfa/Omnium-Gatherum.txt?rlkey=t7ovtia4e9ctgtdpo0aiemzo3&raw=1,09-09-23
Saor,https://www.dropbox.com/scl/fi/rr8cn5y3c4mis2o72mzd1/Saor.txt?rlkey=pwa7kdt5sooks9hvxrvw161yi&raw=1,09-10-23
Wind Rose,https://www.dropbox.com/scl/fi/utphgwxqqww5odi53qve0/Wind-Rose.txt?rlkey=dzfs6y5jzj5yyht58rkzm62gz&raw=1,09-17-23
Victory,https://www.dropbox.com/scl/fi/diudckpwnv9rzelo6kyvg/Victory.txt?rlkey=b4a54gcxjaecez6zrvc0oilsk&raw=1,09-17-23
Tygers of Pan Tang,https://www.dropbox.com/scl/fi/80x1fv1i9axy5dmgnydp8/Tygers-of-Pan-Tang.txt?rlkey=wespr4bwgczae86g1tjhipy0m&raw=1,09-17-23
Scar Symmetry,https://www.dropbox.com/scl/fi/zb91x1v12ghffhckpw17r/Scar-Symmetry.txt?rlkey=a8sg5kz50hzkh5v4r5jgajzja&raw=1,09-17-23
Serenity,https://www.dropbox.com/scl/fi/odb6bqj8od3hwl5gmvf3h/Serenity.txt?rlkey=c8s16ji2vmsm5zpj2i9b1fi2o&raw=1,09-17-23
April Art,https://www.dropbox.com/scl/fi/ldy9zkfqz2xuewdze6gr7/April-Art.txt?rlkey=mnukz21eqadsgl87svy3pp9dt&raw=1,01-13-2024
Before The Dawn,https://www.dropbox.com/scl/fi/gqb3srm2esjfxrqvy8gs2/Before-The-Dawn.txt?rlkey=394unkag106vc68oc12axiqwj&raw=1,01-13-2024
Carnation,https://www.dropbox.com/scl/fi/7xyep093p1q58cn73i734/Carnation.txt?rlkey=e5iqj618rgiczy7ss3kjneid6&raw=1,01-13-2024
Avulsed,https://www.dropbox.com/scl/fi/ioba7o0tkmqc9qwuydztz/Avulsed.txt?rlkey=yvoq32xz9cj47uwfqr0urg8cs&raw=1,01-13-2024
Edenbridge,https://www.dropbox.com/scl/fi/rwkqhuv3mk086szwu01hq/Edenbridge.txt?rlkey=7aabxrc7cleq09e8tr1s1notp&raw=1,01-13-2024
Einherjer,https://www.dropbox.com/scl/fi/ot30e6v0ajo0ghanfk3t0/Einherjer.txt?rlkey=96s0h7b7xa4uklrtua283sa74&raw=1,01-13-2024
Katatonia,https://www.dropbox.com/scl/fi/0mok1ck2vl3g704no148t/Katatonia.txt?rlkey=rjdap4er24xxnom2ffhai3xub&raw=1,01-13-2024
Leaves Eyes,https://www.dropbox.com/scl/fi/s5rw64yujtc3c0n9e24qh/Leaves-Eyes.txt?rlkey=4afi4la51lyglbita1tz1c608&raw=1,01-13-2024
Threshold,https://www.dropbox.com/scl/fi/ov7q1jgf55bmcqehvypux/Threshold.txt?rlkey=b8i9kz4y63b2ixld1k918kf7d&raw=1,01-13-2024
Graceless,https://www.dropbox.com/scl/fi/wpi040p8c5afmlm6qy0bu/Graceless.txt?rlkey=uolpif7fnguj2x0mv21vgq6wa&raw=1,01-13-2024
Inhuman Condition,https://www.dropbox.com/scl/fi/gveqmvc1d7c9prspmoe74/Inhuman-Condition.txt?rlkey=syesl3wq8kyhgruy50uiwmkvy&raw=1,01-13-2024
