Band,URL,Date
Noturnall,https://www.dropbox.com/scl/fi/xcqspu91xyskg78tg3ki7/Noturnall.txt?rlkey=9asmhcc5s6i6hpd728dj6wzo4&raw=1,01-13-2024
Decembre Noir,https://www.dropbox.com/scl/fi/hnbnoemlgxkeeeei1nb03/Decembre-Noir.txt?rlkey=842f350h5znms96npjqe7bm29&raw=1,01-13-2024
Disillusion,https://www.dropbox.com/scl/fi/3htm9d4fgy0srgkzlq99y/Disillusion.txt?rlkey=3qzl170evym4nvhy2504nb0pb&raw=1,01-13-2024
Endseeker,https://www.dropbox.com/scl/fi/cuo2uo1kx2o0a2sne2q97/Endseeker.txt?rlkey=o7sxqulwmv3tbvcdakz8g51nn&raw=1,01-13-2024
Fleshcrawl,https://www.dropbox.com/scl/fi/mow4vepiraivc6k161q6o/Fleshcrawl.txt?rlkey=fce0nrxh0ood5llu8kcsxmu6v&raw=1,01-13-2024
I Am The Night,https://www.dropbox.com/scl/fi/ioug8prhfzjv9e3vfmum3/I-Am-The-Night.txt?rlkey=y2c8d1uu7igpbnm60udcs79pi&raw=1,01-13-2024
Left Ovr,https://www.dropbox.com/scl/fi/sgdssefdf3qh52ryf5ajl/Left-Ovr.txt?rlkey=k87263g2jf5h37wmqx3wsxqmb&raw=1,01-13-2024
Rising Steel,https://www.dropbox.com/scl/fi/nhie7b8ol0tnlgm0xczox/Rising-Steel.txt?rlkey=u6honi989sk1zdbi3fpkzryx3&raw=1,01-13-2024
Shores of Null,https://www.dropbox.com/scl/fi/97xj139nfsoj41uowqvaa/Shores-of-Null.txt?rlkey=t0ldp8jct8c3h4enat8635wk2&raw=1,01-13-2024
Skyforger,https://www.dropbox.com/scl/fi/w2t3y4w5wr8c8ae7q10zu/Skyforger.txt?rlkey=wme1ak622hzzrjp83lzsao939&raw=1,01-13-2024
Temperance,https://www.dropbox.com/scl/fi/w8amdyl7has0ip423hdyc/Temperance.txt?rlkey=ffrtlav8hc76imgg7zdb6n73a&raw=1,01-13-2024
Vision Divine,https://www.dropbox.com/scl/fi/yiluw3xe955hvupejrp89/Vision-Divine.txt?rlkey=y2wxj4lc7an6k2swci78cjj87&raw=1,01-13-2024
Waltari,https://www.dropbox.com/scl/fi/jgy1t2onw830so4kj9xqx/Waltari.txt?rlkey=1d537ywzq3c69vxddbju5x88q&raw=1,01-13-2024
ACOD,https://www.dropbox.com/scl/fi/vziwn1ec07y04l98fl2c9/ACOD.txt?rlkey=dkigyco6tqeen2ozoem7jt800&raw=1,01-13-2024
Arion,https://www.dropbox.com/scl/fi/l5kbsa6633whz65ikqj8v/Arion.txt?rlkey=iuk8q8bt2rdqy1q0p8wyotoxy&raw=1,01-13-2024
Batushka,https://www.dropbox.com/scl/fi/usxq9sr7s0znqtuka1j2t/Batushka.txt?rlkey=b4c4v80osrmrytyke7lv4ufgu&raw=1,01-13-2024
Wolfheart,https://www.dropbox.com/scl/fi/7r6gbo8pqm253495x543a/Wolfheart.txt?rlkey=9zubr2h4cy4wawwaiy6jqcx65&raw=1,01-13-2024
Pentagram Chile,https://www.dropbox.com/scl/fi/rbnvu5pkr3ajl7ytwgmhw/Pentagram-Chile.txt?rlkey=z3s0pdpq6z9s0vl2eij2kxxuv&raw=1,01-13-2024
Monstrosity,https://www.dropbox.com/scl/fi/m7qi7e5b1gjny56s0shkz/Monstrosity.txt?rlkey=6pe5b1apos4lffqjsobeaxojm&raw=1,01-13-2024
LGBTQ+ Meetup,https://www.dropbox.com/scl/fi/n4hf686cej9sbtx11wv8z/LGBQ_Meetup.txt?rlkey=tv9uqscbafkzw6rhjlhnnwtr4&raw=1,01-27-2024
Karaoke,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1&raw=1,01-27-2024
All Star Jam,https://www.dropbox.com/s/sx91i6btlmuh27m/Jamming%20In%20International%20Waters.txt?raw=1,01-27-2024
Skippers Thank You,https://www.dropbox.com/s/5vyfygh4mu7nzl9/Skipper%20Thank%20You.txt?raw=1,01-27-2024
Belly Flop Contest,https://www.dropbox.com/s/p043qh3mzjoloke/70K%20All%20Brutal%20Belly%20Flop%20Bonanza.txt?raw=1,01-27-2024
Closing Karaoke,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,01-27-2024
Lich King,https://www.dropbox.com/scl/fi/m6c3ckuankl6muvoe33w4/Linch_Kin.txt?rlkey=bcvpo9thhuddyedq4qgocplfb&raw=1,01-27-2024
