bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,priorYears
Infected Rain,www.infectedrain.com/,70000tons.com/wp-content/uploads/2023/06/21_inflakjsdi21.png,https://www.youtube.com/results?search_query=official+music%20video+Infected%20Rain,http://www.metal-archives.com/search?searchString=Infected%20Rain&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Infected%20Rain,Moldova,Nu Metal,,Never
Omnium Gatherum,www.saormusic.com/,70000tons.com/wp-content/uploads/2023/06/22_omaldwjaaa22.png,https://www.youtube.com/results?search_query=official+music%20video+Omnium%20Gatherum,http://www.metal-archives.com/search?searchString=Omnium%20Gatherum&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Omnium%20Gatherum,Finland,Melodic Death Metal,,2020 2017
Victory,www.victory-band.com/,70000tons.com/wp-content/uploads/2023/06/23_alslkdjawwwww.png,https://www.youtube.com/results?search_query=official+music%20video+Victory+Gods%20of%20Tomorrow,https://www.metal-archives.com/bands/Victory/1588,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Victory,Germany,Heavy Metal/Hard Rock,,2014
My Dying Bride,mydyingbride.net/,70000tons.com/wp-content/uploads/2023/06/26_mdbadwlkjsajd.png,https://www.youtube.com/results?search_query=official+music%20video+My%20Dying%20Bride,http://www.metal-archives.com/search?searchString=My%20Dying%20Bride&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:My%20Dying%20Bride,United Kingdom,Gothic-Doom Metal,,2016 2012
Serenity,www.serenity-band.com/,70000tons.com/wp-content/uploads/2023/06/27_ujnfvyhng.png,https://www.youtube.com/results?search_query=official+music%20video+Serenity+The%20Last%20Knight,https://www.metal-archives.com/bands/Serenity/24516,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Serenity,Austria,Symphonic-Progressive Power Metal,,2017
Iotunn,www.facebook.com/iotunn,70000tons.com/wp-content/uploads/2023/06/28_fjdnnnba.png,https://www.youtube.com/results?search_query=official+music%20video+Iotunn,http://www.metal-archives.com/search?searchString=Iotunn&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Iotunn,Denmark,Progressive Melodic Metal,,Never
Dalriada,www.dalriada.hu/,70000tons.com/wp-content/uploads/2023/06/29_x0u2cp3y2z.png,https://www.youtube.com/results?search_query=official+music%20video+Dalriada,http://www.metal-archives.com/search?searchString=Dalriada&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dalriada,Hungary,Folk Metal,,2017
Tygers of Pan Tang,www.tygersofpantang.com/,70000tons.com/wp-content/uploads/2023/08/30_awdjidwab0237.png,https://www.youtube.com/results?search_query=official+music%20video+Tygers%20of%20Pan%20Tang,http://www.metal-archives.com/search?searchString=Tygers%20of%20Pan%20Tang&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tygers%20of%20Pan%20Tang,United Kingdom,Heavy Metal,,Never
Fleshgod Apocalypse,www.facebook.com/fleshgodapocalypse/,70000tons.com/wp-content/uploads/2023/08/31_flesh9ikm6tfv.png,https://www.youtube.com/results?search_query=official+music%20video+Fleshgod%20Apocalypse,http://www.metal-archives.com/search?searchString=Fleshgod%20Apocalypse&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Fleshgod%20Apocalypse,Italy,Symphonic-Technical Death Metal,,2019 2016
Kataklysm,www.kataklysm.ca/,70000tons.com/wp-content/uploads/2023/08/32_9n6fcertgfr.png,https://www.youtube.com/results?search_query=official+music%20video+Kataklysm,http://www.metal-archives.com/search?searchString=Kataklysm&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Kataklysm,Canada,Melodic Death Metal,,2018 2015 2012
Heidevolk,www.heidevolk.com/home2/,70000tons.com/wp-content/uploads/2023/08/33_45tyd8i744.png,https://www.youtube.com/results?search_query=official+music%20video+Heidevolk,http://www.metal-archives.com/search?searchString=Heidevolk&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Heidevolk,Netherlands,Folk-Viking Metal,,2019 2013
Dynazty,www.dynazty.com/,70000tons.com/wp-content/uploads/2023/08/34_9okmef8ujr.png,https://www.youtube.com/results?search_query=official+music%20video+Dynazty,http://www.metal-archives.com/search?searchString=Dynazty&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dynazty,Sweden,Heavy/Power Metal/Hard Rock,,Never
Scar Symmetry,www.scarsymmetryofficial.com/,70000tons.com/wp-content/uploads/2023/08/35_9i8uh4rt3ll.png,https://www.youtube.com/results?search_query=official+music%20video+Scar%20Symmetry,http://www.metal-archives.com/search?searchString=Scar%20Symmetry&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Scar%20Symmetry,Sweden,Melodic Death/Groove Metal,,2017
Wind Rose,www.windroseofficial.com/,70000tons.com/wp-content/uploads/2023/08/37_o3kmedfe456.png,https://www.youtube.com/results?search_query=official+music%20video+Wind%20Rose,http://www.metal-archives.com/search?searchString=Wind%20Rose&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Wind%20Rose,Italy,Folk/Power Metal,,Never
April Art,www.aprilart.de/,70000tons.com/wp-content/uploads/2024/01/1231231_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+April%20Art,http://www.metal-archives.com/search?searchString=April%20Art&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:April%20Art,Germany,Alt/Rock,,Never
Katatonia,www.katatonia.com/,70000tons.com/wp-content/uploads/2024/01/1231232.png,https://www.youtube.com/results?search_query=official+music%20video+Katatonia,http://www.metal-archives.com/search?searchString=Katatonia&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Katatonia,Sweden,Doom/Progressive Rock/Metal,,2016
Before The Dawn,www.facebook.com/beforethedawn,70000tons.com/wp-content/uploads/2024/01/39_alijd3fjjnnttqk.png,https://www.youtube.com/results?search_query=official+music%20video+Before%20The%20Dawn,http://www.metal-archives.com/search?searchString=Before%20The%20Dawn&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Before%20The%20Dawn,Finland,Melodic Death/Gothic Metal,,Never
Carnation,carnationband.com/,70000tons.com/wp-content/uploads/2024/01/40_alkdj288238ajjdjja.png,https://www.youtube.com/results?search_query=official+music%20video+Carnation,http://www.metal-archives.com/search?searchString=Carnation&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Carnation,Belgium,Death Metal,,2019
Einherjer,einherjer.com/,70000tons.com/wp-content/uploads/2024/01/41_ad93ijjfjjfaaaY.png,https://www.youtube.com/results?search_query=official+music%20video+Einherjer,http://www.metal-archives.com/search?searchString=Einherjer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Einherjer,Norway,Viking Metal,,2020 2017
Leaves Eyes,www.leaveseyes.de/,70000tons.com/wp-content/uploads/2024/01/42_OIUjneood938jn.png,https://www.youtube.com/results?search_query=official+music%20video+Leaves'%20Eyes,http://www.metal-archives.com/search?searchString=Leaves'%20Eyes&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Leaves'%20Eyes,Germany,Symphonic Metal,,2020 2018 2014
Threshold,www.thresh.net/,70000tons.com/wp-content/uploads/2024/01/43_omlOMnou172bfAA.png,https://www.youtube.com/results?search_query=official+music%20video+Threshold+Dividing%20Lines,https://www.metal-archives.com/bands/Threshold/1114,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Threshold,United Kingdom,Progressive Metal,,2018 2015
Edenbridge,www.edenbridge.org/,70000tons.com/wp-content/uploads/2024/01/44_OKMUHBRVa222_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Edenbridge,http://www.metal-archives.com/search?searchString=Edenbridge&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Edenbridge,Austria,Symphonic Power Metal,,2020 2017
Avulsed,www.facebook.com/1991Avulsed/,70000tons.com/wp-content/uploads/2024/01/45_EEInanawll287fba.png,https://www.youtube.com/results?search_query=official+music%20video+Avulsed,http://www.metal-archives.com/search?searchString=Avulsed&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Avulsed,Spain,Death Metal,,Never
Graceless,www.facebook.com/Graceless.osdm/,70000tons.com/wp-content/uploads/2024/01/46_dao8u2ijfslA.png,https://www.youtube.com/results?search_query=official+music%20video+Graceless+Chants+from+Purgatory,http://www.metal-archives.com/search?searchString=Graceless&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Graceless,Netherlands,Death/Doom Metal,,Never
Inhuman Condition,www.facebook.com/Inhumanconditionband/,70000tons.com/wp-content/uploads/2024/01/47_OLKMR8ad2.png,https://www.youtube.com/results?search_query=official+music%20video+Inhuman%20Condition,http://www.metal-archives.com/search?searchString=Inhuman%20Condition&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Inhuman%20Condition,United States,Death/Thrash Metal,,Never
Noturnall,noturnall.com.br/en/,70000tons.com/wp-content/uploads/2024/01/48_9876FGNIIuY.png,https://www.youtube.com/results?search_query=official+music%20video+Noturnall,http://www.metal-archives.com/search?searchString=Noturnall&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Noturnall,Brazil,Progressive Metal,,Never
Disillusion,www.facebook.com/disillusionBand/,70000tons.com/wp-content/uploads/2024/01/49_9a2nna22.png,https://www.youtube.com/results?search_query=official+music%20video+Disillusion,https://www.metal-archives.com/bands/Disillusion/11560,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Disillusion,Germany,Melodic/Progressive Death Metal,,Never
I Am The Night,www.facebook.com/iamthenightofficial/,70000tons.com/wp-content/uploads/2024/01/50_3EDC5tfY.png,https://www.youtube.com/results?search_query=official+music%20video+I%20am%20the%20night,http://www.metal-archives.com/search?searchString=I%20am%20the%20night&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:I%20am%20the%20night,Finland,Black Metal,,Never
Decembre Noir,decembre-noir.de,70000tons.com/wp-content/uploads/2024/01/51_AO88ajnLL_HOVER-1.png,https://www.youtube.com/results?search_query=official+music%20video+Decembre%20Noir,http://www.metal-archives.com/search?searchString=Decembre%20Noir&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Decembre%20Noir,Germany,Melodic Doom/Death Metal,,Never
Endseeker,endseeker.de/,70000tons.com/wp-content/uploads/2024/01/52_5TYUunFqkJ-1.png,https://www.youtube.com/results?search_query=official+music%20video+Endseeker,http://www.metal-archives.com/search?searchString=Endseeker&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Endseeker,Germany,Death Metal,,Never
Fleshcrawl,www.fleshcrawl.net/,70000tons.com/wp-content/uploads/2024/01/53_plKLAi2nnnsW-1.png,https://www.youtube.com/results?search_query=official+music%20video+Fleshcrawl,http://www.metal-archives.com/search?searchString=Fleshcrawl&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Fleshcrawl,Germany,Death Metal,,Never
Skyforger,skyforger.lv/en/,70000tons.com/wp-content/uploads/2024/01/54_SKYoadwnn22.png,https://www.youtube.com/results?search_query=official+music%20video+Skyforger,http://www.metal-archives.com/search?searchString=Skyforger&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Skyforger,Latvia,Pagan/Folk Black Metal,,Never
Vision Divine,www.visiondivine.com/,70000tons.com/wp-content/uploads/2024/01/55_VISpamw824610janwd.png,https://www.youtube.com/results?search_query=official+music%20video+Vision%20Divine,http://www.metal-archives.com/search?searchString=Vision%20Divine&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vision%20Divine,Italy,Power/Progressive Metal,,Never
Waltari,www.waltariband.com/,70000tons.com/wp-content/uploads/2024/01/56_wAlawd2hh79b.png,https://www.youtube.com/results?search_query=official+music%20video+Waltari,http://www.metal-archives.com/search?searchString=Waltari&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Waltari,Finland,Alternative/Progressive Metal/Rock,,Never
