Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Wind Rose,Theater,2/1/2024,Day 4,17:00,17:45,Show, , , 
My Dying Bride,Theater,2/1/2024,Day 4,18:30,19:30,Show, , , 
Sodom,Theater,2/1/2024,Day 4,20:30,21:30,Show, , , 
Epica,Theater,2/1/2024,Day 4,22:30,23:45,Show, , , 
Left Ovr,Rink,2/1/2024,Day 4,10:45,11:30,Show, , , 
ACOD,Rink,2/1/2024,Day 4,12:15,13:00,Show, , , 
Graceless,Rink,2/1/2024,Day 4,13:45,14:30,Show, , , 
Lich King,Rink,2/1/2024,Day 4,15:30,16:15,Show, , , 
Threshold,Rink,2/1/2024,Day 4,17:00,17:45,Show, , , 
Tygers of Pan Tang,Rink,2/1/2024,Day 4,18:45,19:30,Show, , , 
Before The Dawn,Rink,2/1/2024,Day 4,20:15,21:00,Show, , , 
Inhuman Condition,Rink,2/1/2024,Day 4,21:45,22:30,Show, , , 
Shores of Null,Rink,2/1/2024,Day 4,23:45,00:30,Show, ,Beyond The Shores, 
Wolfheart,Rink,2/2/2024,Day 4,01:30,02:15,Show, , , 
Victory,Lounge,2/1/2024,Day 4,11:30,12:15,Show, , , 
Avulsed,Lounge,2/1/2024,Day 4,13:00,13:45,Show, , , 
Pentagram Chile,Lounge,2/1/2024,Day 4,14:45,15:30,Show, , , 
Carnation,Lounge,2/1/2024,Day 4,16:15,17:00,Show, ,Cursed Mortality, 
Disillusion,Lounge,2/1/2024,Day 4,17:45,18:30,Show, , , 
Mystic Prophecy,Lounge,2/1/2024,Day 4,19:30,20:15,Show, , , 
Arion,Lounge,2/1/2024,Day 4,21:00,21:45,Show, , , 
I Am The Night,Lounge,2/1/2024,Day 4,22:45,23:30,Show, , ,
Warkings,Sports Bar,1/30/2024,Day 2,11:00,12:30,Meet and Greet, , , 
Edenbridge,Sports Bar,1/30/2024,Day 2,12:30,14:00,Meet and Greet, , , 
Avulsed,Sports Bar,1/30/2024,Day 2,14:00,15:30,Meet and Greet, , , 
My Dying Bride,Sports Bar,1/30/2024,Day 2,15:30,17:00,Meet and Greet, , , 
Crypta,Sports Bar,1/30/2024,Day 2,17:00,18:30,Meet and Greet, , , 
Pentagram Chile,Sports Bar,1/30/2024,Day 2,17:00,18:30,Meet and Greet, , , 
Nervosa,Sports Bar,1/30/2024,Day 2,18:30,20:00,Meet and Greet, , , 
Fleshgod Apocalypse,Sports Bar,1/30/2024,Day 2,20:00,21:30,Meet and Greet, , , 
Unleashed,Sports Bar,1/30/2024,Day 2,21:30,23:00,Meet and Greet, , , 
Kataklysm,Sports Bar,1/30/2024,Day 2,11:00,12:30,Meet and Greet, , , 
Nanowar Of Steel,Sports Bar,1/30/2024,Day 2,12:30,14:00,Meet and Greet, , , 
Wind Rose,Sports Bar,1/30/2024,Day 2,14:00,15:30,Meet and Greet, , , 
Dynazty,Sports Bar,1/30/2024,Day 2,15:30,17:00,Meet and Greet, , , 
Equilibrium,Sports Bar,1/30/2024,Day 2,17:00,18:30,Meet and Greet, , , 
Dalriada,Sports Bar,1/30/2024,Day 2,18:30,20:00,Meet and Greet, , , 
Heidevolk,Sports Bar,1/30/2024,Day 2,18:30,20:00,Meet and Greet, , , 
Omnium Gatherum,Sports Bar,1/30/2024,Day 2,20:00,21:30,Meet and Greet, , , 
I Am The Night,Sports Bar,1/30/2024,Day 2,21:30,23:00,Meet and Greet, , , 
Skyforger,Sports Bar,1/30/2024,Day 2,21:30,23:00,Meet and Greet, , , 
Grave Digger,Viking Crown,1/30/2024,Day 2,11:00,12:30,Meet and Greet, , , 
Batushka,Viking Crown,1/30/2024,Day 2,12:30,14:00,Meet and Greet, , , 
Blind Guardian,Viking Crown,1/30/2024,Day 2,14:00,15:30,Meet and Greet, , , 
Katatonia,Viking Crown,1/30/2024,Day 2,15:30,17:00,Meet and Greet, , , 
Epica,Viking Crown,1/30/2024,Day 2,17:00,18:30,Meet and Greet, , , 
The Halo Effect,Viking Crown,1/30/2024,Day 2,18:30,20:00,Meet and Greet, , , 
Sodom,Viking Crown,1/30/2024,Day 2,20:00,21:30,Meet and Greet, , , 
Angra,Viking Crown,1/30/2024,Day 2,21:30,23:00,Meet and Greet, , , 
Threshold,Boleros Lounge,1/30/2024,Day 2,12:00,13:00,Meet and Greet, , , 
Decembre Noir,Boleros Lounge,1/30/2024,Day 2,13:00,14:00,Meet and Greet, , , 
Shores of Null,Boleros Lounge,1/30/2024,Day 2,13:00,14:00,Meet and Greet, , , 
Lich King,Boleros Lounge,1/30/2024,Day 2,14:00,15:00,Meet and Greet, , , 
Rising Steel,Boleros Lounge,1/30/2024,Day 2,14:00,15:00,Meet and Greet, , , 
Blood Red Throne,Boleros Lounge,1/30/2024,Day 2,15:00,16:00,Meet and Greet, , , 
April Art,Boleros Lounge,1/30/2024,Day 2,16:00,17:00,Meet and Greet, , , 
Waltari,Boleros Lounge,1/30/2024,Day 2,16:00,17:00,Meet and Greet, , , 
Left Ovr,Boleros Lounge,1/30/2024,Day 2,17:00,18:00,Meet and Greet, , , 
Lord of the Lost,Boleros Lounge,1/30/2024,Day 2,17:00,18:00,Meet and Greet, , , 
Tygers of Pan Tang,Boleros Lounge,1/30/2024,Day 2,18:00,19:00,Meet and Greet, , , 
Victory,Boleros Lounge,1/30/2024,Day 2,18:00,19:00,Meet and Greet, , , 
Inhuman Condition,Boleros Lounge,1/30/2024,Day 2,19:00,20:00,Meet and Greet, , , 
Monstrosity,Boleros Lounge,1/30/2024,Day 2,19:00,20:00,Meet and Greet, , , 
Before The Dawn,Boleros Lounge,1/30/2024,Day 2,20:00,21:00,Meet and Greet, , , 
Mystic Prophecy,Boleros Lounge,1/30/2024,Day 2,21:00,22:00,Meet and Greet, , , 
Arion,Boleros Lounge,1/30/2024,Day 2,22:00,23:00,Meet and Greet, , , 
Temperance,Boleros Lounge,1/30/2024,Day 2,12:00,13:00,Meet and Greet, , , 
Serenity,Boleros Lounge,1/30/2024,Day 2,13:00,14:00,Meet and Greet, , , 
Vision Divine,Boleros Lounge,1/30/2024,Day 2,14:00,15:00,Meet and Greet, , , 
Einherjer,Boleros Lounge,1/30/2024,Day 2,15:00,16:00,Meet and Greet, , , 
Saor,Boleros Lounge,1/30/2024,Day 2,15:00,16:00,Meet and Greet, , , 
Carnation,Boleros Lounge,1/30/2024,Day 2,16:00,17:00,Meet and Greet, , , 
Graceless,Boleros Lounge,1/30/2024,Day 2,16:00,17:00,Meet and Greet, , , 
Wolfheart,Boleros Lounge,1/30/2024,Day 2,17:00,18:00,Meet and Greet, , , 
ACOD,Boleros Lounge,1/30/2024,Day 2,18:00,19:00,Meet and Greet, , , 
Iotunn,Boleros Lounge,1/30/2024,Day 2,18:00,19:00,Meet and Greet, , , 
Endseeker,Boleros Lounge,1/30/2024,Day 2,19:00,20:00,Meet and Greet, , , 
Fleshcrawl,Boleros Lounge,1/30/2024,Day 2,19:00,20:00,Meet and Greet, , , 
Leaves Eyes,Boleros Lounge,1/30/2024,Day 2,20:00,21:00,Meet and Greet, , , 
Disillusion,Boleros Lounge,1/30/2024,Day 2,21:00,22:00,Meet and Greet, , , 
Noturnall,Boleros Lounge,1/30/2024,Day 2,21:00,22:00,Meet and Greet, , , 
Scar Symmetry,Boleros Lounge,1/30/2024,Day 2,22:00,23:00,Meet and Greet, , , 
Infected Rain,Bull & Bear Pub,1/30/2024,Day 2,14:00,15:30,Listening Party, , , 
Aborted,Bull & Bear Pub,1/30/2024,Day 2,18:30,20:00,Listening Party, , , 
