bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,country,genre,noteworthy
Flotsam and Jetsam,www.flotstildeath.com/,70000tons.com/images/artists2013/FlotsamJetsam-Logo-Chrome90.png,https://www.youtube.com/results?search_query=official+music%20video+Flotsam%20and%20Jetsam,http://www.metal-archives.com/search?searchString=Flotsam%20and%20Jetsam&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Flotsam%20and%20Jetsam,United States,Power/Thrash Metal,
Gotthard,www.gotthard.com/,70000tons.com/images/artists2013/gotthard-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Gotthard,http://www.metal-archives.com/search?searchString=Gotthard&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:,Switzerland,Hard Rock,
Heidevolk,www.facebook.com/heidevolkofficial,70000tons.com/images/artists2013/heidevolk-outline-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Heidevolk,http://www.metal-archives.com/search?searchString=Heidevolk&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Heidevolk,Netherlands,Folk/Viking Metal,
Helloween,www.helloween.org/,70000tons.com/images/artists2013/Helloween-Logo-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Helloween,http://www.metal-archives.com/search?searchString=Helloween&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Helloween,Germany,Power/Speed Metal,
Helstar,www.facebook.com/Helstar.Metal/,70000tons.com/images/artists2013/helstar-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Helstar,http://www.metal-archives.com/search?searchString=Helstar&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Helstar,United States,Heavy/Power/Speed Metal,
Holy Grail,www.holygrailofficial.com/,70000tons.com/images/artists2013/HolyGrail-Logo-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Holy%20Grail,http://www.metal-archives.com/search?searchString=Holy%20Grail&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Holy%20Grail,United States,Heavy/Power Metal,
Immolation,www.facebook.com/immolation,70000tons.com/images/artists2013/Immolation-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Immolation,http://www.metal-archives.com/search?searchString=Immolation&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Immolation,United States,Death Metal,
In Flames,www.inflames.com,70000tons.com/images/artists2013/in-flames-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+In%20Flames,http://www.metal-archives.com/search?searchString=In%20Flames&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:In%20Flames,Sweden,Melodic Groove Metal/Metalcore/Alternative Rock ,
Inquisition,www.facebook.com/inquisition.official,70000tons.com/images/artists2013/Inquisition-Logo-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Inquisition,http://www.metal-archives.com/search?searchString=Inquisition&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Inquisition,Columbia,Black Metal,
Kreator,kreator-terrorzone.de/,70000tons.com/images/artists2013/kreator-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Kreator,http://www.metal-archives.com/search?searchString=Kreator&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Kreator,Germany,Thrash Metal,
Lacuna Coil,www.lacunacoil.it/,70000tons.com/images/artists2013/lacuna-coil-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Lacuna%20Coil,http://www.metal-archives.com/search?searchString=Lacuna%20Coil&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Lacuna%20Coil,Italy,Alternative Rock/Metal,
Lizzy Borden,www.lizzyborden.com/,70000tons.com/images/artists2013/Lizzy-Borden-Logo-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Lizzy%20Borden,http://www.metal-archives.com/search?searchString=Lizzy%20Borden&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Lizzy%20Borden,United States,Heavy/Power Metal,
Metal Church,www.facebook.com/OfficialMetalChurch/,70000tons.com/images/artists2013/MetalChurch-Logo-Chrome-Reunion-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Metal%20Church,http://www.metal-archives.com/search?searchString=Metal%20Church&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Metal%20Church,United States,Heavy/Power/Thrash Metal,
Nightmare,www.facebook.com/nightmare.france/,70000tons.com/images/artists2013/nightmare-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Nightmare,http://www.metal-archives.com/search?searchString=Nightmare&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nightmare,France,Heavy/Power Metal,
Nile,www.facebook.com/nilecatacombs/,70000tons.com/images/artists2013/nile-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Nile,http://www.metal-archives.com/search?searchString=Nile&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nile,United States,Brutal/Technical Death Metal,
Onslaught,www.onslaughtuk.com/,70000tons.com/images/artists2013/Onslaught-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Onslaught,http://www.metal-archives.com/search?searchString=Onslaught&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Onslaught,United Kingdom,Thrash Metal ,
Rage,www.rage-official.com/,70000tons.com/images/artists2013/Rage-Logo-Chrome-Web90.png,https://www.youtube.com/results?search_query=official+music%20video+Rage,http://www.metal-archives.com/search?searchString=Rage&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Rage%20,Germany,Speed-Power Metal,Playing with the Lingua Mortis Orchestra
Sabaton,www.sabaton.net/,70000tons.com/images/artists2013/sabaton-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Sabaton,http://www.metal-archives.com/search?searchString=Sabaton&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Sabaton,Sweden,Power Metal,
Sinister,www.facebook.com/SinisterOfficial/,70000tons.com/images/artists2013/sinister-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Sinister,http://www.metal-archives.com/search?searchString=Sinister&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Sinister,Netherlands,Death Metal,
Steel Engraved,steelengraved.de/,70000tons.com/images/artists2013/Steel-Engraved-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Steel%20Engraved,http://www.metal-archives.com/search?searchString=Steel%20Engraved&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Steel%20Engraved,Germany,Heavy Metal,
Subway To Sally,subwaytosally.com/,70000tons.com/images/artists2013/SubwayToSally-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Subway%20To%20Sally,http://www.metal-archives.com/search?searchString=Subway%20To%20Sally&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Subway%20To%20Sally,Germany,Folk Metal,
Threat Signal,www.facebook.com/threatsignal,70000tons.com/images/artists2013/Threat-Signal-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Threat%20Signal,http://www.metal-archives.com/search?searchString=Threat%20Signal&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Threat%20Signal,Canada,Technical Metalcore,
Tiamat,www.facebook.com/tiamat,70000tons.com/images/artists2013/Tiamat-Logo-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Tiamat,http://www.metal-archives.com/search?searchString=Tiamat&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tiamat,Sweden,Gothic Metal/Rock,
Turisas,www.turisas.com/,70000tons.com/images/artists2013/turisas-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Turisas,http://www.metal-archives.com/search?searchString=Turisas&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Turisas,Finland,Folk/Symphonic Metal,
Tyr,www.tyr.fo/,70000tons.com/images/artists2013/tyr-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Tyr,http://www.metal-archives.com/search?searchString=Tyr&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tyr,Finland,Black Metal,
Unexpect,www.facebook.com/Unexpect-238413107024/,70000tons.com/images/artists2013/Unexpect-Logo-Chrome-Web90.png,https://www.youtube.com/results?search_query=official+music%20video+Unexpect,http://www.metal-archives.com/search?searchString=Unexpect&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Unexpect,Canada,Avant-garde/Progressive Metal,
