Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Sat Roof-Top Party,The Clevelander,01/04/2020,1/4,17:00,02:00,Unofficial Event,https://www.dropbox.com/s/pvmn1mgos3fz7wv/roofTopParty.txt?raw=1,,https://www.dropbox.com/s/wrjt5evxjs5uc83/roofTopParty.jpg?raw=1
Sun Beach Clean-Up,Virginia Key Beach,01/05/2020,1/5,14:00,16:00,Unofficial Event,https://www.dropbox.com/s/7wq0bfq2nybjqf9/beachCleanup.txt?raw=1,,https://www.dropbox.com/s/up7eh8vwdo40agl/beachCleanup.jpg?raw=1
Sun Beach Party,Virginia Key Beach,01/05/2020,1/5,16:00,3:00,Unofficial Event,https://www.dropbox.com/s/ckap9m3384qmke4/sunBeachParty.txt?raw=1,,https://www.dropbox.com/s/ejnbvhmt0f7u7gw/sunBeachParty.jpg?raw=1
Sun Beach Yoga,Virginia Key Beach,01/05/2020,1/5,13:00,14:00,Unofficial Event,https://www.dropbox.com/s/ybxuf6px1vcq3rm/BeachYago.txt?raw=1,,https://www.dropbox.com/s/l5blq2y513pbfop/BeachYoga.jpg?raw=1
Mon Beach Party,Miami Beach,01/06/2020,1/6,13:00,18:00,Unofficial Event,https://www.dropbox.com/s/ynve253npu9ye0u/monBeachParty.txt?raw=1,,https://www.dropbox.com/s/733s02oqwf2m0e8/monBeachParty.jpg?raw=1
Mon Group Photo,Miami Beach,01/06/2020,1/6,16:00,17:00,Unofficial Event,https://www.dropbox.com/s/yk6pho9ofk7s5rv/beachPhotoDescription.txt?raw=1,,https://www.dropbox.com/s/733s02oqwf2m0e8/monBeachParty.jpg?raw=1
Mon Live Band Karaoke,The Clevelander,01/06/2020,1/6,18:00,02:00,Unofficial Event,https://www.dropbox.com/s/n1ysdjfoaohybv3/monNightParty.txt?raw=1,,https://www.dropbox.com/s/i3mgq28zh6el9ao/monNightParty.jpg?raw=1
Sun Hollywood Pre-Party,Hollywood,01/05/2020,1/5,19:00,6:00,Unofficial Event,https://www.dropbox.com/s/5rqg3horgzx4wj3/hollyWoodPre.txt?raw=1,,https://www.dropbox.com/s/x6h995qkkunchhm/hollywoodPre.jpg?raw=1
Hollywood Brew Post-Party,Hollywood,01/11/2020,1/11,19:00,5:00,Unofficial Event,https://www.dropbox.com/s/8j3646duysjqdwd/PostHollywoodBrew.txt?raw=1,,https://www.dropbox.com/s/pxb1nuw8ylj80fv/PostHollywoodBrew.jpg?raw=1
Riptide After-Party,Hollywood,01/11/2020,1/11,13:00,22:00,Unofficial Event,https://www.dropbox.com/s/ynf2jaj149ghff4/ripTideAfterParty.txt?raw=1,,https://www.dropbox.com/s/j8dxw5sevemexmo/ripTideAfterParty.jpg?raw=1
Post 70K Sadistic Intent,Churchills Pub-Miami,01/11/2020,1/11,20:00,1:00,Unofficial Event,https://www.dropbox.com/s/o8swczl61e0arwt/sadisticIntentShow.txt?raw=1,,https://www.dropbox.com/s/pzm2t7c1t3n49h9/sadisticIntentShow.jpg?raw=1
Sun at Churchill's Pub,Churchills Pub-Miami,01/05/2020,1/5,20:00,1:00,Unofficial Event,https://www.dropbox.com/s/0q3hnyvrdtlxurp/churchills_1.txt?raw=1,,https://www.dropbox.com/s/xeb0x3i1dhzjh60/churchillPub1.jpg?raw=1
Mon At Las Rosas Bar,Las Rosas Bar-Miami,01/06/2020,1/6,20:30,1:00,Unofficial Event,https://www.dropbox.com/s/ovxqcmpqtjgt7ug/LasRosas_1.txt?raw=1,,https://www.dropbox.com/s/e8ak4ih1i0a9p13/churchills_2.jpg?raw=1
Vio-Lence,Rink,01/07/2020,Day 1,17:15,18:00,Show, , , 
Novembers Doom,Lounge,01/07/2020,Day 1,17:15,18:00,Show, , , 
Archon Angel,Theater,01/07/2020,Day 1,18:00,18:45,Show, , , 
Einherjer,Rink,01/07/2020,Day 1,18:45,19:30,Show, , , 
Edenbridge,Lounge,01/07/2020,Day 1,18:45,19:30,Show, , , 
Exodus,Theater,01/07/2020,Day 1,19:30,20:30,Show, , , 
Sortilege,Rink,01/07/2020,Day 1,20:30,21:15,Show, , , 
Kampfar,Lounge,01/07/2020,Day 1,20:15,21:00,Show, , , 
Devin Townsend,Theater,01/07/2020,Day 1,21:15,22:15,Show, , , 
At The Gates,Rink,01/07/2020,Day 1,22:15,23:15,Show, , , 
Kissin Dynamite,Lounge,01/07/2020,Day 1,21:45,22:30,Show, , , 
Emperor,Theater,01/07/2020,Day 1,23:15,00:30,Show, , , 
Axxis,Lounge,01/07/2020,Day 1,23:15,00:00,Show, , , 
Brujeria,Rink,01/08/2020,Day 1,00:15,01:15,Show, , , 
