Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Scar Symmetry,Rink,2/2/2017,Day 1,17:15,18:00,Show,,,,,
Trauma,Lounge,2/2/2017,Day 1,17:15,18:00,Show,,,
Amaranthe,Theater,2/2/2017,Day 1,18:00,18:45,Show,,,
Death Angel,Rink,2/2/2017,Day 1,18:45,19:30,Show,,,
Cattle Decapitation,Lounge,2/2/2017,Day 1,18:45,19:30,Show,,,
Grave Digger,Theater,2/2/2017,Day 1,19:30,20:30,Show,,,
Moonsorrow,Rink,2/2/2017,Day 1,20:30,21:15,Show,,,
Nightmare,Lounge,2/2/2017,Day 1,20:15,21:00,Show,,,
Testament,Theater,2/2/2017,Day 1,21:15,22:15,Show,,,
Devil Driver,Rink,2/2/2017,Day 1,22:15,20:15,Show,,,
Serenity,Lounge,2/2/2017,Day 1,21:45,22:30,Show,,,
Ghost Ship Octavius,Lounge,2/2/2017,Day 1,20:15,00:00,Show,,,
Unleashed,Rink,2/3/2017,Day 1,00:15,01:15,Show,,,
Arch Enemy,Theater,2/2/2017,Day 1,20:15,00:30,Show,,,
Touch The Sun,Lounge,2/3/2017,Day 1,00:45,01:30,Show,,,
Kalmah,Theater,2/3/2017,Day 1,01:15,02:15,Show,,,
Pain,Rink,2/3/2017,Day 1,02:15,03:00,Show,,,
Edenbridge,Lounge,2/3/2017,Day 1,02:15,03:00,Show,,,
Marduk,Theater,2/3/2017,Day 1,03:00,03:45,Show,,,
Demolition Hammer,Rink,2/3/2017,Day 1,03:45,04:30,Show,,,
Trollfest,Theater,2/3/2017,Day 1,04:30,05:15,Show,,,
Psycroptic,Rink,2/3/2017,Day 1,05:15,06:00,Show,,,
Karaoke,Labyrinth,2/3/2017,Day 1,00:00,06:00,Special Event,,,
Stam1na,Pool,2/3/2017,Day 2,10:00,10:45,Show,,,
Mors Principium Est,Theater,2/3/2017,Day 2,10:45,11:30,Show,,,
Suffocation,Pool,2/3/2017,Day 2,11:30,12:15,Show,,,
Striker,Rink,2/3/2017,Day 2,11:30,12:15,Show,,,
Orden Ogan,Theater,2/3/2017,Day 2,12:15,13:00,Show,,,
Saltatio Mortis,Pool,2/3/2017,Day 2,13:00,13:45,Show,,,
Revocation,Rink,2/3/2017,Day 2,13:00,13:45,Show,,,
Orphaned Land,Theater,2/3/2017,Day 2,13:45,14:30,Show,,,
Uli Jon Roth,Pool,2/3/2017,Day 2,14:30,15:30,Show,,,
Powerglove,Rink,2/3/2017,Day 2,14:45,15:30,Show,,,
Xandria,Theater,2/3/2017,Day 2,15:30,16:15,Show,,,
Total Death,Lounge,2/3/2017,Day 2,15:30,16:15,Show,,,
Haggard,Pool,2/3/2017,Day 2,16:15,17:15,Show,,,
Avatarium,Rink,2/3/2017,Day 2,16:15,017:00,Show,,,
Therion,Theater,2/3/2017,Day 2,17:00,18:00,Show,,,
Manegarm,Lounge,2/3/2017,Day 2,17:15,18:00,Show,,,
Dying Fetus,Rink,2/3/2017,Day 2,18:00,18:45,Show,,,
Angra,Pool,2/3/2017,Day 2,18:00,19:00,Show,,,
Overkill,Theater,2/3/2017,Day 2,18:45,19:45,Show,,,
Cruachan,Lounge,2/3/2017,Day 2,19:00,19:45,Show,,,
Misery loves Co.,Rink,2/3/2017,Day 2,19:45,20:30,Show,,,
Carcass,Theater,2/3/2017,Day 2,20:45,21:45,Show,,,
Dalriada,Lounge,2/3/2017,Day 2,20:45,21:30,Show,,,
Axxis,Rink,2/3/2017,Day 2,21:30,22:15,Show,,,
Anthrax,Pool,2/3/2017,Day 2,21:45,20:00,Show,,,
Cryptopsy,Lounge,2/3/2017,Day 2,22:15,20:00,Show,,,
Kamelot,Theater,2/3/2017,Day 2,20:00,00:15,Show,,,
Grave,Rink,2/3/2017,Day 2,20:15,00:00,Show,,,
Annihilator,Pool,2/4/2017,Day 2,00:00,01:00,Show,,,
Draconian,Theater,2/4/2017,Day 2,01:00,01:45,Show,,,
Equilibrium,Rink,2/4/2017,Day 2,01:00,01:45,Show,,,
