Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
TYR,Boleros Lounge,01/27/2011,Day 4,15:45,16:10,Meet and Greet, , , 
Uli Jon Roth,Boleros Lounge,01/27/2011,Day 4,16:10,16:35,Meet and Greet, , , 
Iced Earth,Boleros Lounge,01/27/2011,Day 4,16:35,17:00,Meet and Greet, , , 
Amon Amarth,Boleros Lounge,01/27/2011,Day 4,17:00,17:25,Meet and Greet, , , 
Saxon,Boleros Lounge,01/27/2011,Day 4,17:25,18:00,Meet and Greet, , , 
Finntroll,Pool,01/25/2011,Day 1,02:15,03:15,Show, , , 
Malevolent Creation,Theater,01/25/2011,Day 1,03:15,04:00,Show, , , 
Malevolent Creation,Boleros Lounge,01/25/2011,Day 2,14:30,14:55,Meet and Greet, , , 
Unleashed,Theater,01/25/2011,Day 1,01:30,02:30,Show, , , 
Witch Burner,Lounge,01/25/2011,Day 1,02:30,03:15,Show, , , 
Dusk Machine,Boleros Lounge,01/25/2011,Day 2,14:55,15:20,Meet and Greet, , , 
Trouble,Boleros Lounge,01/25/2011,Day 2,14:55,15:20,Meet and Greet, , , 
Rage,Boleros Lounge,01/27/2011,Day 4,15:20,15:45,Meet and Greet, , , 
Voivod,Boleros Lounge,01/27/2011,Day 4,15:45,16:10,Meet and Greet, , , 
Witch Burner,Boleros Lounge,01/27/2011,Day 4,14:55,15:20,Meet and Greet, , , 
