bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia
Allegaeon,www.facebook.com/allegaeon,70000tons.com/wp-content/uploads/2017/01/Allegaeon_logo.png,https://www.youtube.com/results?search_query=official+music%20video+Allegaeon,http://www.metal-archives.com/search?searchString=Allegaeon&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Allegaeon
Amaranthe,amaranthe.se/,70000tons.com/wp-content/uploads/2016/07/AMARANTHE_WEB2.png,https://www.youtube.com/results?search_query=official+music%20video+Amaranthe,http://www.metal-archives.com/search?searchString=Amaranthe&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Amaranthe
Amorphis,www.amorphis.net/,70000tons.com/wp-content/uploads/2016/07/AMORPHIS_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Amorphis,http://www.metal-archives.com/search?searchString=Amorphis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Amorphis
Angra,www.angra.net/,70000tons.com/wp-content/uploads/2017/01/ANGRA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Angra,http://www.metal-archives.com/search?searchString=Angra&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Angra
Annihilator,www.facebook.com/annihilatorband/,70000tons.com/wp-content/uploads/2016/07/ANNIHILATOR_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Annihilator,http://www.metal-archives.com/search?searchString=Annihilator&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Annihilator
Anthrax,anthrax.com/,70000tons.com/wp-content/uploads/2016/07/ANTHRAX_WEB_2.png,https://www.youtube.com/results?search_query=official+music%20video+Anthrax,http://www.metal-archives.com/search?searchString=Anthrax&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Anthrax
Arch Enemy,www.archenemy.net/,70000tons.com/wp-content/uploads/2016/07/ARCHENEMY_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Arch%20Enemy,http://www.metal-archives.com/search?searchString=Arch%20Enemy&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Arch%20Enemy
Avatarium,www.facebook.com/avatariumofficial/,70000tons.com/wp-content/uploads/2016/12/59536Avatarium_web.png,https://www.youtube.com/results?search_query=official+music%20video+Avatarium,http://www.metal-archives.com/search?searchString=Avatarium&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Avatarium
Axxis,www.axxis.de/,70000tons.com/wp-content/uploads/2017/01/AXXIS_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Axxis,http://www.metal-archives.com/search?searchString=Axxis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Axxis
Carcass,www.facebook.com/OfficialCarcass/,70000tons.com/wp-content/uploads/2017/01/CARCASS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Carcass,http://www.metal-archives.com/search?searchString=Carcass&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Carcass
