bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia
 1349,www.legion1349.com/,70000tons.com/wp-content/uploads/2014/12/1349.png,https://www.youtube.com/results?search_query=official+music%20video+1349,http://www.metal-archives.com/search?searchString=1349&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:1349
Abandon Hope,abandon-hope.de/,70000tons.com/wp-content/uploads/2015/01/abandonhope.png,https://www.youtube.com/results?search_query=official+music%20video+Abandon%20Hope,http://www.metal-archives.com/search?searchString=Abandon%20Hope&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Abandon%20Hope
Adaliah,www.facebook.com/Adaliahfl,70000tons.com/wp-content/uploads/2015/01/adaliah1.png,https://www.youtube.com/results?search_query=official+music%20video+Adaliah,http://www.metal-archives.com/search?searchString=Adaliah&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Adaliah
Alestorm,www.alestorm.net/,70000tons.com/wp-content/uploads/2014/09/alestorm.png,https://www.youtube.com/results?search_query=official+music%20video+Alestorm,http://www.metal-archives.com/search?searchString=Alestorm&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Alestorm
Amorphis,amorphis.net/,70000tons.com/wp-content/uploads/2014/09/amorphis.png,https://www.youtube.com/results?search_query=official+music%20video+Amorphis,http://www.metal-archives.com/search?searchString=Amorphis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Amorphis
Annihilator,www.annihilatormetal.com/,70000tons.com/wp-content/uploads/2014/03/annihilator.png,https://www.youtube.com/results?search_query=official+music%20video+Annihilator,http://www.metal-archives.com/search?searchString=Annihilator&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Annihilator
Anvil,www.facebook.com/anvilmetal/,70000tons.com/wp-content/uploads/2015/01/anvil4.png,https://www.youtube.com/results?search_query=official+music%20video+Anvil,http://www.metal-archives.com/search?searchString=Anvil&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Anvil
Apocalyptica,www.facebook.com/Apocalyptica/,70000tons.com/wp-content/uploads/2014/03/apocalyptica.png,https://www.youtube.com/results?search_query=official+music%20video+Apocalyptica,http://www.metal-archives.com/search?searchString=Apocalyptica&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Apocalyptica
Arch Enemy,https://www.archenemy.net/en/,70000tons.com/wp-content/uploads/2014/03/archenemy_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Arch%20Enemy,http://www.metal-archives.com/search?searchString=Arch%20Enemy&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Arch%20Enemy
Artillery,https://www.facebook.com/ARTILLERY.DK/,70000tons.com/wp-content/uploads/2014/09/artillery.png,https://www.youtube.com/results?search_query=official+music%20video+Artillery,http://www.metal-archives.com/search?searchString=Artillery&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Artillery
Behemoth,www.behemoth.pl,70000tons.com/wp-content/uploads/2014/07/behemoth.png,https://www.youtube.com/results?search_query=official+music%20video+Behemoth,http://www.metal-archives.com/search?searchString=Behemoth&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Behemoth
Blind Guardian,www.blind-guardian.com/,70000tons.com/wp-content/uploads/2014/03/blindguardian.png,https://www.youtube.com/results?search_query=official+music%20video+Blind%20Guardian,http://www.metal-archives.com/search?searchString=Blind%20Guardian&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Blind%20Guardian
COC,www.facebook.com/coc.blind,70000tons.com/wp-content/uploads/2015/01/coc.png,https://www.youtube.com/results?search_query=official+music%20video+COC,http://www.metal-archives.com/search?searchString=COC&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:COC
Cannibal Corpse,www.cannibalcorpse.net/,70000tons.com/wp-content/uploads/2014/03/cannibal.png,https://www.youtube.com/results?search_query=official+music%20video+Cannibal%20Corpse,http://www.metal-archives.com/search?searchString=Cannibal%20Corpse&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cannibal%20Corpse
Claim the Throne,www.claimthethrone.com/,70000tons.com/wp-content/uploads/2015/01/claimthethrone2.png,https://www.youtube.com/results?search_query=official+music%20video+Claim%20the%20Throne,http://www.metal-archives.com/search?searchString=Claim%20the%20Throne&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Claim%20the%20Throne
Crucified Barbara,www.facebook.com/crucifiedbarbara/,70000tons.com/wp-content/uploads/2014/10/crucifiedbarbara.png,https://www.youtube.com/results?search_query=official+music%20video+Crucified%20Barbara,http://www.metal-archives.com/search?searchString=Crucified%20Barbara&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Crucified%20Barbara
D-A-D,www.d-a-d.com/,70000tons.com/wp-content/uploads/2014/06/dad.png,https://www.youtube.com/results?search_query=official+music%20video+D-A-D,http://www.metal-archives.com/search?searchString=D-A-D&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:D-A-D
Dark Sermon,www.facebook.com/darksermon,70000tons.com/wp-content/uploads/2015/01/darksermon.png,https://www.youtube.com/results?search_query=official+music%20video+Dark%20Sermon,http://www.metal-archives.com/search?searchString=Dark%20Sermon&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dark%20Sermon
Destruction,www.destruction.de/,70000tons.com/wp-content/uploads/2014/12/destruction.png,https://www.youtube.com/results?search_query=official+music%20video+Destruction,http://www.metal-archives.com/search?searchString=Destruction&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Destruction
Divided Multitude,www.facebook.com/DividedMultitude,70000tons.com/wp-content/uploads/2015/01/divided_multitude.png,https://www.youtube.com/results?search_query=official+music%20video+Divided%20Multitude,http://www.metal-archives.com/search?searchString=Divided%20Multitude&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Divided%20Multitude
EINHERJER,www.einherjer.com/,70000tons.com/wp-content/uploads/2014/08/einherjer.png,https://www.youtube.com/results?search_query=official+music%20video+EINHERJER,http://www.metal-archives.com/search?searchString=EINHERJER&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:EINHERJER
Ensiferum,www.ensiferum.com/,70000tons.com/wp-content/uploads/2014/03/ensiferum.png,https://www.youtube.com/results?search_query=official+music%20video+Ensiferum,http://www.metal-archives.com/search?searchString=Ensiferum&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Ensiferum
Enthroned,www.facebook.com/Frater.Silurian,70000tons.com/wp-content/uploads/2015/01/enthroned.png,https://www.youtube.com/results?search_query=official+music%20video+Enthroned,http://www.metal-archives.com/search?searchString=Enthroned&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Enthroned
Equilibrium,www.equilibrium-metal.net/,70000tons.com/wp-content/uploads/2014/04/equilibrium.png,https://www.youtube.com/results?search_query=official+music%20video+Equilibrium,http://www.metal-archives.com/search?searchString=Equilibrium&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Equilibrium
Exumer,www.facebook.com/exumerofficial,70000tons.com/wp-content/uploads/2015/01/exumer.png,https://www.youtube.com/results?search_query=official+music%20video+Exumer,http://www.metal-archives.com/search?searchString=Exumer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Exumer
Gamma Bomb,www.gamabomb.net/,70000tons.com/wp-content/uploads/2015/01/gammabomb.png,https://www.youtube.com/results?search_query=official+music%20video+Gamma%20Bomb,http://www.metal-archives.com/search?searchString=Gamma%20Bomb&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Gamma%20Bomb
God Dethroned,www.facebook.com/goddethronedofficial,70000tons.com/wp-content/uploads/2014/07/goddethroned.png,https://www.youtube.com/results?search_query=official+music%20video+God%20Dethroned,http://www.metal-archives.com/search?searchString=God%20Dethroned&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:God%20Dethroned
Grave Digger,www.grave-digger.de/,70000tons.com/wp-content/uploads/2014/10/gravediggerv2.png,https://www.youtube.com/results?search_query=official+music%20video+Grave%20Digger,http://www.metal-archives.com/search?searchString=Grave%20Digger&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Grave%20Digger
Gurd,www.facebook.com/gurdmusic,70000tons.com/wp-content/uploads/2015/01/gurd1.png,https://www.youtube.com/results?search_query=official+music%20video+Gurd,http://www.metal-archives.com/search?searchString=Gurd&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Gurd
Hate Colony,www.facebook.com/TheHateColony,70000tons.com/wp-content/uploads/2015/01/hatecolony.png,https://www.youtube.com/results?search_query=official+music%20video+Hate%20Colony,http://www.metal-archives.com/search?searchString=Hate%20Colony&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Hate%20Colony
Heathen,www.facebook.com/heathen.official,70000tons.com/wp-content/uploads/2014/03/heathen.png,https://www.youtube.com/results?search_query=official+music%20video+Heathen,http://www.metal-archives.com/search?searchString=Heathen&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Heathen
Helstar,www.facebook.com/Helstar.Metal,70000tons.com/wp-content/uploads/2015/01/helstar1.png,https://www.youtube.com/results?search_query=official+music%20video+Helstar,http://www.metal-archives.com/search?searchString=Helstar&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Helstar
