bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy
Massacre,www.reverbnation.com/massacreflorida,70000tons.com/images/artists2014/massacre-logo-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Massacre,http://www.metal-archives.com/search?searchString=Massacre&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Massacre
Nekrogoblikon,www.facebook.com/nekrogoblikon,70000tons.com/images/artists2014/nekrogoblikon-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Nekrogoblikon,http://www.metal-archives.com/search?searchString=Nekrogoblikon&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nekrogoblikon
Novembers Doom,novembersdoom.com/,70000tons.com/images/artists2014/Novembers-Doom-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Novembers%20Doom,http://www.metal-archives.com/search?searchString=Novembers%20Doom&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Novembers%20Doom
Obituary,www.obituary.cc/,70000tons.com/images/artists2014/Obituary-logo-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Obituary,http://www.metal-archives.com/search?searchString=Obituary&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Obituary
Orphaned Land,www.orphaned-land.com/,70000tons.com/images//artists2014/Orphaned-land-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Orphaned%20Land,http://www.metal-archives.com/search?searchString=Orphaned%20Land&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Orphaned%20Land
Overkill,www.wreckingcrew.com/,70000tons.com/images/artists2014/overkill-logo-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Overkill,http://www.metal-archives.com/search?searchString=Overkill&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Overkill
Poltergeist,www.facebook.com/poltergeist.official/,70000tons.com/images/artists2014/Poltergeist-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Poltergeist,http://www.metal-archives.com/search?searchString=Poltergeist&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Poltergeist
Pungent Stench,www.facebook.com/pungentstench.official/,70000tons.com/images/artists2014/pungent-stench-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Pungent%20Stench,http://www.metal-archives.com/search?searchString=Pungent%20Stench&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Pungent%20Stench
Raven,www.ravenlunatics.com/,70000tons.com/images/artists2014/Raven-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Raven,http://www.metal-archives.com/search?searchString=Raven&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Raven
Rising Storm,www.risingstorm-music.com/,70000tons.com/images/artists2014/Risingstorm-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Rising%20Storm,http://www.metal-archives.com/search?searchString=Rising%20Storm&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Rising%20Storm
Satyricon,www.satyricon.no/,70000tons.com/images/artists2014/Satyricon-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Satyricon,http://www.metal-archives.com/search?searchString=Satyricon&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Satyricon
Septicflesh,www.septicflesh.com/,70000tons.com/images/artists2014/SepticFlesh-Chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Septicflesh,http://www.metal-archives.com/search?searchString=Septicflesh&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Septicflesh
Soilwork,www.soilwork.org/,70000tons.com/images/artists2014/Soilwork-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Soilwork,http://www.metal-archives.com/search?searchString=Soilwork&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Soilwork
Swallow The Sun,www.swallowthesun.net/,70000tons.com/images/artists2014/StS-logo-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Swallow%20The%20Sun,http://www.metal-archives.com/search?searchString=Swallow%20The%20Sun&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Swallow%20The%20Sun
Swashbuckle,www.facebook.com/SwashbuckleBand,70000tons.com/images/artists2014/Swashbuckle-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Swashbuckle,http://www.metal-archives.com/search?searchString=Swashbuckle&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Swashbuckle
Symphony X,www.symphonyx.com,70000tons.com/images/artists2014/SymphonyX_logo-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Symphony%20X,http://www.metal-archives.com/search?searchString=Symphony%20X&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Symphony%20X
Terrorizer,www.terrorizergrindcore.net/,70000tons.com/images/artists2014/Terrorizer-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Terrorizer,http://www.metal-archives.com/search?searchString=Terrorizer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Terrorizer
The Haunted,www.the-haunted.com,70000tons.com/images/artists2014/the_haunted_chrome.png,https://www.youtube.com/results?search_query=official+music%20video+The%20Haunted,http://www.metal-archives.com/search?searchString=The%20Haunted&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:The%20Haunted
Twilight Of The Gods,twilightofthegods.bandcamp.com/,70000tons.com/images/artists2014/Twilight-Of-The-Gods-Chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Twilight%20of%20the%20Gods,http://www.metal-archives.com/search?searchString=Twilight%20of%20the%20Gods&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Twilight%20of%20the%20Gods
Unearth,www.facebook.com/unearthofficial,70000tons.com/images/artists2014/Unearth-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Unearth,http://www.metal-archives.com/search?searchString=Unearth&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Unearth
Vicious Rumors,www.facebook.com/ViciousRumorsThisIsMetal,70000tons.com/images/artists2014/viciousrumors-logo-chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Vicious%20Rumors,http://www.metal-archives.com/search?searchString=Vicious%20Rumors&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vicious%20Rumors
Victory,www.victory-band.com/,70000tons.com/images/artists2014/Victory-Chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Victory,http://www.metal-archives.com/search?searchString=Victory&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Victory
Xandria,www.xandria.de/,70000tons.com/images/artists2014/Xandria-Chrome.png,https://www.youtube.com/results?search_query=official+music%20video+Xandria,http://www.metal-archives.com/search?searchString=Xandria&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Xandria
