Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
God Dethroned,Theater,1/22/2015,Day 1,18:00,18:45,Show, , , 
Therion,Theater,1/22/2015,Day 1,19:30,20:30,Show, , , 
Arch Enemy,Theater,1/22/2015,Day 1,21:15,22:15,Show, , , 
Apocalyptica,Theater,1/22/2015,Day 1,23:15,00:30,Show, , , 
Primal Fear,Theater,1/23/2015,Day 1,01:30,02:15,Show, , , 
Alestorm,Theater,1/23/2015,Day 1,03:00,03:45,Show, , , 
Masacre,Theater,1/23/2015,Day 1,04:30,05:15,Show, , , 
Equilibrium,Rink,1/22/2015,Day 1,17:15,18:00,Show, , , 
Pretty Maids,Rink,1/22/2015,Day 1,18:45,19:45,Show, , , 
Annihilator,Rink,1/22/2015,Day 1,20:30,21:30,Show, , , 
Kataklysm,Rink,1/22/2015,Day 1,22:30,23:30,Show, , , 
Korpiklaani,Rink,1/23/2015,Day 1,00:30,01:30,Show, , , 
Melechesh,Rink,1/23/2015,Day 1,02:15,03:00,Show, , , 
Exumer,Rink,1/23/2015,Day 1,03:45,04:30,Show, , , 
Dark Sermon,Rink,1/23/2015,Day 1,05:15,06:00,Show, , , 
Helstar,Lounge,1/22/2015,Day 1,17:15,18:00,Show, , , 
EINHERJER,Lounge,1/22/2015,Day 1,18:45,19:30,Show, , , 
Enthroned,Lounge,1/22/2015,Day 1,20:15,21:00,Show, , , 
Threshold,Lounge,1/22/2015,Day 1,21:45,22:30,Show, , , 
Heathen,Lounge,1/22/2015,Day 1,23:15,00:00,Show, , , 
Trouble,Lounge,1/23/2015,Day 1,00:45,01:30,Show, , , 
Lake of Tears,Lounge,1/23/2015,Day 1,02:15,03:00,Show, , , 
Karaoke,Lounge,1/23/2015,Day 1,03:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Grave Digger,Pool,1/23/2015,Day 2,18:00,19:00,Show, , , 
Soulfly,Pool,1/23/2015,Day 2,20:00,21:00,Show, , , 
Venom,Pool,1/23/2015,Day 2,22:00,23:15,Show, , , 
Behemoth,Pool,1/24/2015,Day 2,00:15,01:15,Show, , , 
Ensiferum,Pool,1/24/2015,Day 2,02:00,03:00,Show, , , 
Municipal Waste,Pool,1/24/2015,Day 2,03:45,04:30,Show, , , 
Jungle Rot,Pool,1/24/2015,Day 2,05:15,06:00,Show, , , 
Tank,Theater,1/23/2015,Day 2,10:45,11:30,Show, , , 
Gurd,Theater,1/23/2015,Day 2,12:15,13:00,Show, , , 
Refuge,Theater,1/23/2015,Day 2,13:45,14:30,Show, , , 
D-A-D,Theater,1/23/2015,Day 2,15:30,16:15,Show, , , 
Cannibal Corpse,Theater,1/23/2015,Day 2,17:00,18:00,Show, , , 
Michael Schenker,Theater,1/23/2015,Day 2,19:00,20:00,Show, , , 
Wintersun,Theater,1/23/2015,Day 2,21:00,22:00,Show, , , 
Blind Guardian,Theater,1/23/2015,Day 2,23:15,00:30,Show, , , 
Riot,Theater,1/24/2015,Day 2,01:30,02:15,Show, , , 
 1349,Theater,1/24/2015,Day 2,03:00,03:45,Show, , , 
Abandon Hope,Theater,1/24/2015,Day 2,04:30,05:15,Show, , , 
Blind Guardian,Rink,1/23/2015,Day 2,11:00,12:30,Listening Party, ,New Album Premiere, 
Apocalyptica,Rink,1/23/2015,Day 2,13:45,15:15,Listening Party, ,New Album Premiere, 
Crucified Barbara,Rink,1/23/2015,Day 2,16:45,17:15,Show, , , 
Thy Antichrist,Rink,1/23/2015,Day 2,18:15,19:00,Show, , , 
Napalm Death,Rink,1/23/2015,Day 2,19:45,20:45,Show, , , 
