Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Terrorizer,Pool,01/30/2014,Day 3,04:30,05:15,Show, , , 
Gloryhammer,Lounge,01/29/2014,Day 3,17:00,17:45,Show, , , 
Hatesphere,Lounge,01/29/2014,Day 3,18:30,19:15,Show, , , 
Bonfire,Lounge,01/29/2014,Day 3,20:15,21:00,Show, , , 
Massacre,Lounge,01/29/2014,Day 3,22:15,23:00,Show, , , 
Leaves Eyes,Pool,01/28/2014,Day 2,14:30,15:15,Show, , 
Leaves Eyes,Lounge,01/30/2014,Day 3,00:45,01:30,Show, , , 
Swallow The Sun,Lounge,01/30/2014,Day 3,02:15,03:00,Show, , , 
Swashbuckle,Lounge,01/30/2014,Day 3,03:45,04:30,Show, , , 
Vika Goes Wild,Schooner Bar,01/29/2014,Day 3,17:00,17:45,Special Event, ,, 
Karaoke,Boleros Lounge,01/30/2014,Day 3,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Raven,Theater,01/30/2014,Day 4,17:15,18:00,Show, , , 
Twilight Of The Gods,Theater,01/30/2014,Day 4,18:45,19:45,Show, , , 
Finntroll,Theater,01/30/2014,Day 4,20:30,21:30,Show, , , 
Fear Factory,Theater,01/30/2014,Day 4,22:45,00:00,Show, , , 
The Haunted,Theater,01/31/2014,Day 4,01:00,02:00,Show, , , 
Atrocity,Pool,01/30/2014,Day 4,10:00,10:45,Show, , , 
Keep Of Kalessin,Pool,01/30/2014,Day 4,11:30,12:15,Show, , , 
Victory,Pool,01/30/2014,Day 4,13:00,13:45,Show, , , 
Xandria,Pool,01/30/2014,Day 4,14:45,15:30,Show, , , 
Belly Flop,Pool,01/30/2014,Day 4,14:00,14:30,Special Event,https://www.dropbox.com/s/p043qh3mzjoloke/70K%20All%20Brutal%20Belly%20Flop%20Bonanza.txt?raw=1,,https://www.dropbox.com/s/aqi1k1fhfsfcdx0/BellyFlop.png?raw=1
Death To All,Pool,01/30/2014,Day 4,16:10,17:10,Show, , , 
Death Angel,Pool,01/30/2014,Day 4,17:50,18:50,Show, , , 
Soilwork,Pool,01/30/2014,Day 4,19:30,20:30,Show, , , 
Symphony X,Pool,01/30/2014,Day 4,21:30,22:45,Show, , , 
Overkill,Pool,01/31/2014,Day 4,00:00,01:00,Show, , , 
Skipper's Thank You,Pool,01/31/2014,Day 4,01:00,01:15,Special Event,https://www.dropbox.com/s/5vyfygh4mu7nzl9/Skipper%20Thank%20You.txt?raw=1,,https://www.dropbox.com/s/29l042jutb4payw/skipperThankYou.png?raw=1
Rising Storm,Lounge,01/30/2014,Day 4,10:45,11:30,Show, , , 
Izegrim,Lounge,01/30/2014,Day 4,12:15,13:00,Show, , , 
Poltergeist,Lounge,01/30/2014,Day 4,13:45,14:30,Show, , , 
Pungent Stench,Lounge,01/30/2014,Day 4,17:15,18:00,Show, , , 
Nekrogoblikon,Lounge,01/30/2014,Day 4,15:30,16:15,Show, , , 
Vicious Rumors,Lounge,01/30/2014,Day 4,18:45,19:30,Show, , , 
DRI,Lounge,01/30/2014,Day 4,20:30,21:15,Show, , , 
Septicflesh,Lounge,01/31/2014,Day 4,00:15,01:00,Show, , , 
Freedom Call,Lounge,01/31/2014,Day 4,02:00,02:45,Show, , , 
Raven,Boleros Lounge,01/30/2014,Day 4,15:00,16:00,Clinic, ,Bass Clinic, 
Terrorizer,Boleros Lounge,01/30/2014,Day 4,17:00,17:30,Clinic, ,Drum Solo, 
Metal Comedy,Boleros Lounge,01/30/2014,Day 4,23:30,00:00,Special Event, ,, 
Karaoke,Boleros Lounge,01/30/2014,Day 4,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Vika Goes Wild,Schooner Bar,01/30/2014,Day 4,19:00,19:45,Special Event, ,, 
