Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Grave Digger,Theater,01/23/2012,Day 1,19:00,20:00,Show, , , 
Coroner,Theater,01/23/2012,Day 1,21:00,22:00,Show, , , 
Nightwish,Theater,01/23/2012,Day 1,23:00,00:30,Show, , , 
Edguy,Theater,01/24/2012,Day 1,01:30,02:30,Show, , , 
Massacre,Theater,01/24/2012,Day 1,03:15,04:00,Show, , , 
Cannibal Corpse,Pool,01/23/2012,Day 1,22:00,23:00,Show, , , 
Candlemass,Pool,01/24/2012,Day 1,00:30,01:30,Show, , , 
Eluveite,Pool,01/24/2012,Day 1,02:30,03:30,Show, , , 
Alestorm,Lounge,01/23/2012,Day 1,06:30,07:15,Show, , , 
Tristania,Lounge,01/23/2012,Day 1,20:00,20:45,Show, , , 
Moonsorrow,Lounge,01/23/2012,Day 1,21:30,22:15,Show, , , 
Samael,Lounge,01/23/2012,Day 1,23:00,23:45,Show, , , 
Vicious Rumors,Lounge,01/24/2012,Day 1,00:30,01:15,Show, , , 
Channel Zero,Lounge,01/24/2012,Day 1,02:00,02:45,Show, , , 
Karaoke,Boleros Lounge,01/24/2012,Day 1,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Suffocation,Theater,01/24/2012,Day 2,15:30,16:30,Show, , , 
Kamelot,Theater,01/24/2012,Day 2,17:15,18:15,Show, , , 
In Extremo,Theater,01/24/2012,Day 2,19:00,20:00,Show, , , 
Annihilator,Theater,01/24/2012,Day 2,21:00,22:00,Show, , , 
Venom,Theater,01/24/2012,Day 2,23:15,00:45,Show, , , 
My Dying Bride,Theater,01/25/2012,Day 2,01:45,02:45,Show, , , 
Crowbar,Theater,01/25/2012,Day 2,03:30,04:15,Show, , , 
Whiplash,Pool,01/24/2012,Day 2,10:00,10:45,Show, , , 
God Dethroned,Pool,01/24/2012,Day 2,11:30,12:15,Show, , , 
Exciter,Pool,01/24/2012,Day 2,13:00,13:45,Show, , , 
Orphaned Land,Pool,01/24/2012,Day 2,14:30,15:30,Show, , , 
Pretty Maids,Pool,01/24/2012,Day 2,16:15,17:15,Show, , , 
Stratovarius,Pool,01/24/2012,Day 2,18:00,19:00,Show, , , 
Therion,Pool,01/24/2012,Day 2,20:00,21:00,Show, , , 
Children Of Bodom,Pool,01/24/2012,Day 2,22:00,23:15,Show, , , 
Hammerfall,Pool,01/25/2012,Day 2,00:45,01:45,Show, , , 
Dark Funeral,Pool,01/25/2012,Day 2,02:45,03:45,Show, , , 
Megora,Lounge,01/24/2012,Day 2,10:45,11:30,Show, , , 
Diamond Plate,Lounge,01/24/2012,Day 2,12:15,13:00,Show, , , 
Sapiency,Lounge,01/24/2012,Day 2,13:45,14:30,Show, , , 
Tankard,Lounge,01/24/2012,Day 2,15:15,16:00,Show, , , 
Atheist,Lounge,01/24/2012,Day 2,16:45,17:30,Show, , , 
Amorphis,Lounge,01/24/2012,Day 2,18:15,19:15,Show, , , 
Kataklysm,Lounge,01/24/2012,Day 2,20:00,21:00,Show, , , 
Virgin Steele,Lounge,01/24/2012,Day 2,21:45,22:30,Show, , , 
Riot,Lounge,01/24/2012,Day 2,23:15,00:00,Show, , , 
Pestilence,Lounge,01/25/2012,Day 2,00:45,01:30,Show, , , 
Tristania,Boleros Lounge,01/24/2012,Day 2,12:00,12:30,Meet and Greet, , , 
Coroner,Boleros Lounge,01/24/2012,Day 2,12:00,12:30,Meet and Greet, , , 
Candlemass,Boleros Lounge,01/24/2012,Day 2,12:30,13:00,Meet and Greet, , , 
Vicious Rumors,Boleros Lounge,01/24/2012,Day 2,12:30,13:00,Meet and Greet, , , 
Suffocation,Boleros Lounge,01/24/2012,Day 2,13:00,13:30,Meet and Greet, , , 
Pretty Maids,Boleros Lounge,01/24/2012,Day 2,13:00,13:30,Meet and Greet, , , 
My Dying Bride,Boleros Lounge,01/24/2012,Day 2,13:30,14:00,Meet and Greet, , , 
Riot,Boleros Lounge,01/24/2012,Day 2,13:30,14:00,Meet and Greet, , , 
Venom,Boleros Lounge,01/24/2012,Day 2,14:00,14:30,Meet and Greet, , , 
Kamelot,Boleros Lounge,01/24/2012,Day 2,14:30,15:00,Meet and Greet, , , 
Nightwish,Boleros Lounge,01/24/2012,Day 2,15:00,15:30,Meet and Greet, , , 
Stratovarius,Boleros Lounge,01/24/2012,Day 2,15:30,16:00,Meet and Greet, , , 
Edguy,Boleros Lounge,01/24/2012,Day 2,16:00,16:30,Meet and Greet, , , 
Children Of Bodom,Boleros Lounge,01/24/2012,Day 2,16:30,17:00,Meet and Greet, , , 
Virgin Steele,Boleros Lounge,01/24/2012,Day 2,17:00,17:30,Meet and Greet, , , 
Kataklysm,Boleros Lounge,01/24/2012,Day 2,17:00,17:30,Meet and Greet, , , 
Grave Digger,Boleros Lounge,01/24/2012,Day 2,17:30,18:00,Meet and Greet, , , 
Channel Zero,Boleros Lounge,01/24/2012,Day 2,17:30,18:00,Meet and Greet, , , 
Pestilence,Boleros Lounge,01/24/2012,Day 2,18:00,18:30,Meet and Greet, , , 
Eluveite,Boleros Lounge,01/24/2012,Day 2,18:00,18:30,Meet and Greet, , , 
Tankard,Boleros Lounge,01/24/2012,Day 2,18:30,19:00,Meet and Greet, , , 
Sapiency,Boleros Lounge,01/24/2012,Day 2,18:30,19:00,Meet and Greet, , , 
Dark Funeral,Boleros Lounge,01/24/2012,Day 2,19:00,19:30,Meet and Greet, , , 
Crowbar,Boleros Lounge,01/24/2012,Day 2,19:00,19:30,Meet and Greet, , , 
Megora,Boleros Lounge,01/24/2012,Day 2,19:30,20:00,Meet and Greet, , , 
Diamond Plate,Boleros Lounge,01/24/2012,Day 2,19:30,20:00,Meet and Greet, , , 
Moonsorrow,Boleros Lounge,01/24/2012,Day 2,20:00,20:30,Meet and Greet, , , 
Overkill,Boleros Lounge,01/24/2012,Day 2,20:00,20:30,Meet and Greet, , , 
Atheist,Boleros Lounge,01/24/2012,Day 2,20:30,21:00,Meet and Greet, , , 
Orphaned Land,Boleros Lounge,01/24/2012,Day 2,20:30,21:00,Meet and Greet, , , 
Whiplash,Boleros Lounge,01/24/2012,Day 2,21:00,21:30,Meet and Greet, , , 
God Dethroned,Boleros Lounge,01/24/2012,Day 2,21:00,21:30,Meet and Greet, , , 
Cannibal Corpse,Boleros Lounge,01/24/2012,Day 2,21:30,22:00,Meet and Greet, , , 
Alestorm,Boleros Lounge,01/24/2012,Day 2,21:30,22:00,Meet and Greet, , , 
Exciter,Boleros Lounge,01/24/2012,Day 2,22:00,22:30,Meet and Greet, , , 
Samael,Boleros Lounge,01/24/2012,Day 2,22:00,22:30,Meet and Greet, , , 
Annihilator,Boleros Lounge,01/24/2012,Day 2,22:30,23:00,Meet and Greet, , , 
Therion,Boleros Lounge,01/24/2012,Day 2,22:30,23:00,Meet and Greet, , , 
Amorphis,Boleros Lounge,01/24/2012,Day 2,23:00,23:30,Meet and Greet, , , 
In Extremo,Boleros Lounge,01/24/2012,Day 2,23:00,23:30,Meet and Greet, , , 
Hammerfall,Boleros Lounge,01/24/2012,Day 2,23:30,00:00,Meet and Greet, , , 
Massacre,Boleros Lounge,01/24/2012,Day 2,23:30,00:00,Meet and Greet, , , 
Karaoke,Boleros Lounge,01/25/2012,Day 2,00:00,05:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Stratovarius,Theater,01/25/2012,Day 3,18:45,19:45,Show, , , 
Cannibal Corpse,Theater,01/25/2012,Day 3,20:45,21:45,Show, , , 
Children Of Bodom,Theater,01/25/2012,Day 3,23:15,00:30,Show, , , 
Kamelot,Theater,01/26/2012,Day 3,01:30,02:30,Show, , , 
Samael,Theater,01/26/2012,Day 3,03:15,04:00,Show, , , 
Overkill,Pool,01/25/2012,Day 3,18:00,19:00,Show, , , 
Annihilator,Pool,01/25/2012,Day 3,19:45,20:45,Show, , , 
Nightwish,Pool,01/25/2012,Day 3,21:45,23:15,Show, , , 
My Dying Bride,Pool,01/26/2012,Day 3,00:15,01:15,Show, , , 
Kataklysm,Pool,01/26/2012,Day 3,02:15,03:15,Show, , , 
Tankard,Pool,01/26/2012,Day 3,04:00,04:45,Show, , , 
Pestilence,Lounge,01/25/2012,Day 3,18:30,19:15,Show, , , 
Crowbar,Lounge,01/25/2012,Day 3,20:00,20:45,Show, , , 
Exciter,Lounge,01/25/2012,Day 3,21:30,22:15,Show, , , 
Massacre,Lounge,01/25/2012,Day 3,23:00,23:45,Show, , , 
Vicious Rumors,Lounge,01/26/2012,Day 3,00:30,01:15,Show, , , 
Moonsorrow,Lounge,01/26/2012,Day 3,02:00,02:45,Show, , , 
Karaoke,Boleros Lounge,01/26/2012,Day 3,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Virgin Steele,Theater,01/26/2012,Day 4,14:00,14:45,Show, , , 
Eluveite,Theater,01/26/2012,Day 4,15:30,16:30,Show, , , 
Pretty Maids,Theater,01/26/2012,Day 4,17:15,18:15,Show, , , 
Hammerfall,Theater,01/26/2012,Day 4,19:00,20:00,Show, , , 
Amorphis,Theater,01/26/2012,Day 4,21:00,22:00,Show, , , 
Overkill,Theater,01/26/2012,Day 4,23:30,00:30,Show, , , 
Candlemass,Theater,01/27/2012,Day 4,01:30,02:30,Show, , , 
Megora,Pool,01/26/2012,Day 4,10:00,10:45,Show, , , 
Atheist,Pool,01/26/2012,Day 4,11:30,12:15,Show, , , 
Alestorm,Pool,01/26/2012,Day 4,13:00,13:45,Show, , , 
Belly Flop Contest,Pool,01/26/2012,Day 4,14:00,14:30,Special Event,https://www.dropbox.com/s/p043qh3mzjoloke/70K%20All%20Brutal%20Belly%20Flop%20Bonanza.txt?raw=1,,https://www.dropbox.com/s/aqi1k1fhfsfcdx0/BellyFlop.png?raw=1
Grave Digger,Pool,01/26/2012,Day 4,14:45,15:45,Show, , , 
Therion,Pool,01/26/2012,Day 4,16:30,17:30,Show, , , 
Coroner,Pool,01/26/2012,Day 4,18:15,19:15,Show, , , 
In Extremo,Pool,01/26/2012,Day 4,20:00,21:00,Show, , , 
Venom,Pool,01/26/2012,Day 4,22:00,23:30,Show, , , 
Edguy,Pool,01/27/2012,Day 4,00:30,01:30,Show, , , 
Sapiency,Lounge,01/26/2012,Day 4,12:00,12:45,Show, , , 
Diamond Plate,Lounge,01/26/2012,Day 4,13:30,14:15,Show, , , 
Tristania,Lounge,01/26/2012,Day 4,15:00,15:45,Show, , , 
Riot,Lounge,01/26/2012,Day 4,16:30,17:15,Show, , , 
Orphaned Land,Lounge,01/26/2012,Day 4,18:00,19:00,Show, , , 
Dark Funeral,Lounge,01/26/2012,Day 4,19:45,20:45,Show, , , 
Whiplash,Lounge,01/26/2012,Day 4,21:30,22:15,Show, , , 
Channel Zero,Lounge,01/26/2012,Day 4,23:00,23:45,Show, , , 
Suffocation,Lounge,01/27/2012,Day 4,00:30,01:30,Show, , , 
God Dethroned,Lounge,01/27/2012,Day 4,02:15,03:00,Show, , , 
Stratovarius,Boleros Lounge,01/26/2012,Day 4,15:00,16:00,Clinic,,Drum & Bass Clinic, 
Annihilator,Boleros Lounge,01/26/2012,Day 4,16:30,17:30,Clinic,,Guitar Clinic, 
Karaoke,Boleros Lounge,01/27/2012,Day 4,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
