bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy
Absolute Darkness,absolutedarkness1.bandcamp.com/,www.metal-archives.com/images/3/5/4/0/3540421383_logo.jpg,https://www.youtube.com/results?search_query=official+music+video+Absolute%20Darkness+Failure%20of%20State,https://www.metal-archives.com/bands/Absolute_Darkness/3540421383,https://en.wikipedia.org/wiki/Special:Search/Absolute%20Darkness,United States,Death/Thrash Metal,
Exhumed,www.exhumed.us/,f4.bcbits.com/img/0042320614_100.png,https://www.youtube.com/results?search_query=official+music+video+Exhumed+Red%20Asphalt,https://www.metal-archives.com/bands/Exhumed/143,https://en.wikipedia.org/wiki/Special:Search/Exhumed,United States,"Death Metal, Goregrind, Grindcore",
Amon Amarth,www.amonamarth.com/,f4.bcbits.com/img/0028849219_100.png,https://www.youtube.com/results?search_query=official+music+video+Amon%20Amarth+The%20Great%20Heathen%20Army,https://www.metal-archives.com/bands/Amon_Amarth/150,https://en.wikipedia.org/wiki/Special:Search/Amon%20Amarth,Sweden,"Melodic Death Metal, Death Metal, Metal",
The Crown,www.thecrownofficial.com/,f4.bcbits.com/img/0036989453_100.png,https://www.youtube.com/results?search_query=official+music+video+The%20Crown+Crown%20of%20Thorns,https://www.metal-archives.com/bands/Crown_of_Thorns/49404,https://en.wikipedia.org/wiki/Special:Search/The%20Crown,Sweden,"Death Metal, Melodic Death Metal, Thrash Metal",
